atc,UMLS_from_label,UMLS_from_meddra,side_effect_name
A16AA01,C0000729,C0000737,Abdominal pain
A16AA01,C0000737,C0687713,Gastrointestinal pain
A16AA01,C0002418,C0002418,Amblyopia
A16AA01,C0002871,C0002871,Anaemia
A16AA01,C0003123,C0232462,Decreased appetite
A16AA01,C0003467,C0003467,Anxiety
A16AA01,C0003811,C0003811,Arrhythmia
A16AA01,C0004093,C0004093,Asthenia
A16AA01,C0004238,C0004238,Atrial fibrillation
A16AA01,C0004604,C0004604,Back pain
A16AA01,C0006277,C0006277,Bronchitis
A16AA01,C0007222,C0007222,Cardiovascular disorder
A16AA01,C0008031,C0008031,Chest pain
A16AA01,C0009450,C0009450,Infection
A16AA01,C0009806,C0009806,Constipation
A16AA01,C0010200,C0010200,Cough
A16AA01,C0011570,C0011570,Depression
A16AA01,C0011991,C0011991,Diarrhoea
A16AA01,C0012833,C0012833,Dizziness
A16AA01,C0013378,C0013378,Dysgeusia
A16AA01,C0013395,C0013395,Dyspepsia
A16AA01,C0013404,C0013404,Dyspnoea
A16AA01,C0015230,C0015230,Rash
A16AA01,C0015230,C0011603,Dermatitis
A16AA01,C0015397,C0015397,Eye disorder
A16AA01,C0015967,C0015967,Body temperature increased
A16AA01,C0017152,C0017152,Gastritis
A16AA01,C0017178,C0017178,Gastrointestinal disorder
A16AA01,C0018681,C0018681,Headache
A16AA01,C0019080,C0019080,Haemorrhage
A16AA01,C0019080,C0518015,Haemoglobin
A16AA01,C0020437,C0020437,Hypercalcaemia
A16AA01,C0020461,C0020461,Hyperkalaemia
A16AA01,C0020517,C0020517,Hypersensitivity
A16AA01,C0020538,C0020538,Hypertension
A16AA01,C0020649,C0020649,Hypotension
A16AA01,C0021400,C0021400,Influenza
A16AA01,C0023218,C0037763,Muscle spasms
A16AA01,C0025222,C0025222,Melaena
A16AA01,C0026826,C0026826,Hypertonia
A16AA01,C0027497,C0027497,Nausea
A16AA01,C0030193,C0030193,Pain
A16AA01,C0030252,C0030252,Palpitations
A16AA01,C0030517,C0030517,Parathyroid disorder
A16AA01,C0030554,C0030554,Paraesthesia
A16AA01,C0031350,C0031350,Pharyngitis
A16AA01,C0033774,C0033774,Pruritus
A16AA01,C0035078,C0035078,Renal failure
A16AA01,C0035455,C0035455,Rhinitis
A16AA01,C0036572,C0036572,Convulsion
A16AA01,C0037199,C0037199,Sinusitis
A16AA01,C0039231,C0039231,Tachycardia
A16AA01,C0042029,C0042029,Urinary tract infection
A16AA01,C0042373,C0042373,Angiopathy
A16AA01,C0042571,C0042571,Vertigo
A16AA01,C0042963,C0042963,Vomiting
A16AA01,C0043094,C0043094,Weight increased
A16AA01,C0043096,C0043096,Weight decreased
A16AA01,C0085595,C0234930,Skin odour abnormal
A16AA01,C0085649,C0085649,Oedema peripheral
A16AA01,C0151735,C0151735,Injection site reaction
A16AA01,C0151736,C3263723,Injury
A16AA01,C0152020,C0522063,Impaired gastric emptying
A16AA01,C0152020,C0152020,Gastric atony
A16AA01,C0231528,C0231528,Myalgia
A16AA01,C0231528,C0948594,Musculoskeletal discomfort
A16AA01,C0522055,C0522055,Electrocardiogram abnormal
A16AA01,C0546817,C0546817,Fluid overload
A16AA01,C0917801,C0917801,Insomnia
A16AA01,C0947912,C0151786,Muscular weakness
A16AA01,C1510472,C1510472,Drug dependence
L03AA03,C0002792,C0002792,Anaphylactic shock
L03AA03,C0002994,C0002994,Angioedema
L03AA03,C0030193,C0030193,Pain
L03AA03,C0042109,C0042109,Urticaria
L03AA03,C0863083,C0151828,Injection site pain
N03AG03,C0002792,C0002792,Anaphylactic shock
N03AG03,C0002994,C0002994,Angioedema
N03AG03,C0030193,C0030193,Pain
N03AG03,C0042109,C0042109,Urticaria
N03AG03,C0863083,C0151828,Injection site pain
L01XD04,C0002871,C0002871,Anaemia
L01XD04,C0003537,C0003537,Aphasia
L01XD04,C0004936,C0004936,Mental disorder
L01XD04,C0006118,C0006118,Brain neoplasm
L01XD04,C0009450,C0009450,Infection
L01XD04,C0011991,C0011991,Diarrhoea
L01XD04,C0013604,C0013604,Oedema
L01XD04,C0015230,C0015230,Rash
L01XD04,C0015230,C0011603,Dermatitis
L01XD04,C0015256,C0015256,Excoriation
L01XD04,C0015397,C0015397,Eye disorder
L01XD04,C0015967,C0015967,Body temperature increased
L01XD04,C0017178,C0017178,Gastrointestinal disorder
L01XD04,C0017638,C0017638,Glioma
L01XD04,C0018681,C0018681,Headache
L01XD04,C0018799,C0018799,Cardiac disorder
