STT,doi/PMID,Abstract/ Introduction,loại tạp chí,experiment,model,relation,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vitro,human,disease_protein,mutation,adult neuronal ceroid lipofuscinosis,disease,DNAJC5,protein/gene,"DNAJC5 mutations preventing vesicle trafficking (previously identified in adult neuronal ceroid lipofuscinosis, a human congenital disease) inhibit ExoU-dependent cell lysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vitro,human,protein_protein,,phospholipase ExoU,protein/gene,DNAJC5,protein/gene,"Here, we use a genome-wide screen to discover that ExoU requires DNAJC5, a host chaperone, for its necrotic activity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vitro,human,disease_disease,,adult neuronal ceroid lipofuscinosis,disease,human congenital disease,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vitro,human,bioprocess_protein,,anterograde vesicular trafficking,biological_process,DNAJC5,protein/gene,DNAJC5 is known to participate in an unconventional secretory pathway for misfolded proteins involving anterograde vesicular trafficking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vitro,human,cellcomp_protein,,DNAJC5-positive vesicles,cellular_component,phospholipase ExoU,protein/gene,ExoU colocalizes with DNAJC5-positive vesicles in the host cytoplasm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human, bioprocess_protein,,unconventional secretory pathway,biological_process,DNAJC5,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human,cellcomp_protein,,secretory vesicles,cellular_component,DNAJC5,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human, bioprocess_protein,,vesicle trafficking,biological_process,DNAJC5,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human, bioprocess_protein,,phospholipase activity,biological_process,phospholipase ExoU,protein/gene,"Our results suggest that, once injected into the host cytoplasm, ExoU docks to DNAJC5-positive secretory vesicles to reach the plasma membrane, where it can exert its phospholipase activity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human,exposure_protein,,Pseudomonas aeruginosa,exposure,phospholipase ExoU,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human, bioprocess_protein,,Necrotic activity,biological_process,phospholipase ExoU,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human, bioprocess_protein,,Necrotic activity,biological_process,DNAJC5,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human,phenotype_protein,,prevented vesicle trafficking,phenotype,DNAJC5 mutation,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human,phenotype_protein,,inhibited ExoU-dependent cell lysis,phenotype,DNAJC5 mutation,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34188051,Abstract,original article,in vivo,human,phenotype_protein,,inhibited ExoU-dependent cell lysis,phenotype,phospholipase ExoU,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,protein_protein,,CLN8,protein/gene,membrane-spanning protein,protein/gene,,11,15,73.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,cellcomp_protein,, Endoplasmic Reticulum,cellular_component,CLN8,protein/gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,cellcomp_protein,,Endoplasmic Reticulum-Golgi intermediate compartment,cellular_component,CLN8,protein/gene,...with partial localization in the ER-Golgi intermediate compartment.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_protein,,Late infantile CLN8 disease,disease,CLN8,protein/gene,Mutations in CLN8 cause late-infantile neuronal ceroid lipofuscinosis (LINCL).,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_negative,,Late infantile CLN8 disease,disease,spontaneous myoclonus,phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,Late infantile CLN8 disease,disease,focal sensory visual seizures,phenotype,...developed focal sensory visual seizures.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_protein,mutation,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,CLN8,protein/gene,We report a novel CLN8 mutation as a cause for NCL8 in a girl..,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_protein,mutation,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,c.531G>T,protein/gene,"In addition, whole-exome sequencing identified a novel homozygous variant in CLN8, c.531G>T, resulting in p.Trp177Cys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,protein_protein,,CNL8,protein/gene,c.531G>T,protein/gene,"In addition, whole-exome sequencing identified a novel homozygous variant in CLN8, c.531G>T, resulting in p.Trp177Cys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_protein,mutation,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,p.Trp177Cys,protein/gene,"In addition, whole-exome sequencing identified a novel homozygous variant in CLN8, c.531G>T, resulting in p.Trp177Cys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,protein_protein,,CLN8,protein/gene,p.Trp177Cys,protein/gene,"In addition, whole-exome sequencing identified a novel homozygous variant in CLN8, c.531G>T, resulting in p.Trp177Cys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,protein_protein,,c.531G>T,protein/gene,p.Trp177Cys,protein/gene,"In addition, whole-exome sequencing identified a novel homozygous variant in CLN8, c.531G>T, resulting in p.Trp177Cys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,lipofuscin deposits,phenotype,"Ultrastructural examination featured abundant lipofuscin deposits within mucosal cells, macrophages, and monocytes",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,developmental delay,phenotype,...cause for NCL8 in a girl with developmental delay...,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,epilepsy,phenotype,...cause for NCL8 in a girl with... epilepsy...,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,cerebellar syndrome,phenotype,"CLN8 mutation as a cause for NCL8 in a girl with developmental delay and epilepsy, cerebellar syndrome, visual loss, and progressive cognitive and motor regression.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,visual loss,phenotype,"CLN8 mutation as a cause for NCL8 in a girl with developmental delay and epilepsy, cerebellar syndrome, visual loss, and progressive cognitive and motor regression.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,progressive cognitive ,phenotype,"CLN8 mutation as a cause for NCL8 in a girl with developmental delay and epilepsy, cerebellar syndrome, visual loss, and progressive cognitive and motor regression.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34201538,Abstract,original article,in vitro,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",disease,motor regression,phenotype,"CLN8 mutation as a cause for NCL8 in a girl with developmental delay and epilepsy, cerebellar syndrome, visual loss, and progressive cognitive and motor regression.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,disease_disease,,neurodegenerative disorder,disease,Neuronal Ceroid-Lipofuscinoses,disease,Neuronal Ceroid Lipofuscinosis (NCL) is a childhood neurodegenerative disorder characterized by... pathological accumulation of proteins.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Neuronal Ceroid-Lipofuscinoses,disease,disturbed autophagic flow,phenotype,Neuronal Ceroid Lipofuscinosis (NCL) is a childhood neurodegenerative disorder characterized by... pathological accumulation of proteins.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Neuronal Ceroid-Lipofuscinoses,disease,accumulation of proteins,phenotype,Neuronal Ceroid Lipofuscinosis (NCL) is a childhood neurodegenerative disorder characterized by... pathological accumulation of proteins.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,drug_protein,,recombinant human pro-cathepsin-D,GRAS/Excipient/prodrug,NCL10,protein/gene,We demonstrated a therapeutic clearance of protein aggregates after dosing NCL10 mice with recombinant human pro-cathepsin-D.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,drug_effect,,recombinant human pro-cathepsin-D,GRAS/Excipient/prodrug,clearanced protein aggregates,phenotype,We demonstrated a therapeutic clearance of protein aggregates after dosing NCL10 mice with recombinant human pro-cathepsin-D.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,disease_protein,mutation,NEURONAL CEROID LIPOFUSCINOSIS DUE TO CATHEPSIN D DEFICIENCY,disease,increased LAMP1 expression,phenotype,In murine NCL10 astrocytes an abnormal increase in LAMP1 and saposin expression was revealed.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,disease_phenotype_positive,,NEURONAL CEROID LIPOFUSCINOSIS DUE TO CATHEPSIN D DEFICIENCY,disease,increased saposin expression,phenotype,In murine NCL10 astrocytes an abnormal increase in LAMP1 and saposin expression was revealed.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vivo,mice,drug_effect,,pro-cathepsin-L ,GRAS/Excipient/prodrug,reduced saposin-C levels,phenotype,Only proCTSL mildly reduced saposin-C levels and attenuated reactive astrogliosis [in NCL10 mouse model].,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vitro,mice,drug_effect,,pro-cathepsin-L ,GRAS/Excipient/prodrug,reduced attenuated reactive astrogliosis,phenotype,proCTSL treatment led to reduced saposin-C levels in this model as well as in an acute brain slice model.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vitro,mice,drug_effect,,pro-cathepsin-D,GRAS/Excipient/prodrug,reduced gliosis,phenotype,proCTSL treatment led to reduced saposin-C levels in this model as well as in an acute brain slice model.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vitro,mice,drug_effect,,pro-cathepsin-D,GRAS/Excipient/prodrug,reduced neurodegeneration,phenotype,proCTSL treatment led to reduced saposin-C levels in this model as well as in an acute brain slice model.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34214607,Abstract,original article,in vitro,mice,drug_effect,,pro-cathepsin-D,GRAS/Excipient/prodrug,increased life span,phenotype,proCTSL treatment led to reduced saposin-C levels in this model as well as in an acute brain slice model.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
