doi/PMID,Abtract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion
35187608,Abtract,Case report + review,in vivo,human,disease_disease,, Canavan disease,disease,leukodystrophy,disease,,
35187608,Abtract,Case report + review,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,macrocephaly,phenotype,,
35187608,Abtract,Case report + review,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,neurologic impairment,phenotype,,
35187608,Abtract,Case report + review,in vivo,human,exposure_disease,,MRI,exposure, Canavan disease,disease,,
35187608,Abtract,Case report + review,in vivo,human,exposure_disease,,MR spectroscopy,exposure, Canavan disease,disease,,
35187608,Abtract,Case report + review,in vivo,human,pathology_anatomy_present,,Diffuse hyperechogenicity ,pathology,white matter,anatomy,,
35187608,Abtract,Case report + review,in vivo,human,pathology_anatomy_present,,inverted echogenicity,pathology,cortical gray,anatomy,,
35187608,Abtract,Case report + review,in vivo,human,pathology_anatomy_present,,inverted echogenicity,pathology,subcortical white matter,anatomy,,
35187608,Abtract,Case report + review,in vivo,human,exposure_disease,,ultrasound,exposure, Canavan disease,disease,ultrasound - cerebral sonography ,
35187608,Abtract,Case report + review,in vivo,human,exposure_exposure,,MRI,exposure,ultrasound,exposure,,
35637731,Abtract,Article,in vitro,both,disease_protein,,Canavan disease,disease,ASPA,protein/gene,,
35637731,Abtract,Article,in vivo,human,exposure_molfunc,,ASPA-CD NPCs,exposure,ASPA enzymatic activity,molecular_function,,
35637731,Abtract,Article,in vivo,mice,exposure_molfunc,,ASPA-CD NPCs,exposure,ASPA activity,molecular_function,,
35637731,Abtract,Article,in vivo,mice,exposure_phenotype,,ASPA-CD NPCs,exposure,elevated NAA level ,phenotype,,
35637731,Abtract,Article,in vivo,mice,exposure_phenotype,,ASPA-CD NPCs,exposure,spongy degeneration,phenotype,,
35637731,Abtract,Article,in vivo,mice,exposure_phenotype,,ASPA-CD NPCs,exposure,myelination defects ,phenotype,,
35637731,Abtract,Article,in vivo,mice,exposure_phenotype,,ASPA-CD NPCs,exposure,motor function impairment,phenotype,,
35637731,Abtract,Article,in vivo,mice,exposure_phenotype,,ASPA-CD NPCs,exposure,CSF NAA level,phenotype,reduced the abnormally elevated level of NAA in both brain tissues and cerebrospinal fluid (CSF),
