STT,doi/PMID,Abstract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,"human, mice",disease_protein,,Niemann-Pick type C disease,disease,NPC1,protein/gene,Disease-causing mutations in genes encoding either NPC1 or NPC2 protein provoke..,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,"human, mice",disease_protein,,Niemann-Pick type C disease,disease,NPC2,protein/gene,Disease-causing mutations in genes encoding either NPC1 or NPC2 protein provoke...,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,"human, mice",indication,,2-hydroxypropyl-beta-cyclodextrin,drug,Niemann-Pick Disease Type C,disease,2-hydroxypropyl-beta-cyclodextrin (CD) emerged as potential therapeutic approach based on animal studies and clinical data,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C,disease,neurovisceral symptoms,phenotype,Niemann-Pick type C disease is a rare and fatal lysosomal storage disorder presenting severe neurovisceral symptoms.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C,disease,accumulation of cholesterol and other lipids,phenotype,Disease-causing mutations in genes encoding either NPC1 or NPC2 protein provoke accumulation of cholesterol and other lipids...,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,mice,drug_bioprocess,,2-hydroxypropyl-beta-cyclodextrin,drug,release of lipid-laden lamellar inclusions,biological_process,CD enters the endosomal-lysosomal system of neurons in vivo and enables the release of lipid-laden lamellar inclusions,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34364974,Abstract,original article,in vivo,mice,drug_bioprocess,,2-hydroxypropyl-beta-cyclodextrin,drug,restore lipid homeostasis,biological_process,Our data suggest that CD induces a concerted action of neurons and glial cells to restore lipid homeostasis in the central nervous system.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_protein,,Niemann-Pick Disease Type C2,disease,fatal neurovisceral disorder,phenotype,Niemann-Pick type C2 disease (NP-C2) is a fatal neurovisceral disorder caused by defects in the lysosomal cholesterol transporter protein NPC2,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,NPC2,protein/gene,Niemann-Pick type C2 disease (NP-C2) is a fatal neurovisceral disorder caused by defects in the lysosomal cholesterol transporter protein NPC2,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,splenomegaly,phenotype,Six weeks old pre-symptomatic Npc2− /− mice showed splenomegaly,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,cerebellar ataxia,phenotype,"At the end-stage of the disease, Npc2− /− mice were characterized by... cerebellar ataxia",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,growth retardation,phenotype,"At the end-stage of the disease, Npc2− /− mice were characterized by growth retardation",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,tremor,phenotype,"At the end-stage of the disease, Npc2− /− mice were characterized by... tremor",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,brain atrophy,phenotype,"At the end-stage of the disease, Npc2− /− mice were characterized by... brain atrophy",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,neuroinflammation,phenotype,"At the end-stage of the disease, Npc2- /- mice were characterized by growth retardation, tremor, cerebellar ataxia, splenomegaly, foam cell accumulation in the lungs, liver, and spleen, brain atrophy, pronounced PC degeneration, and severe neuroinflammation.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C2,disease,foam cell accumulation,phenotype,"...foam cell accumulation in the lungs, liver, and spleen",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice, anatomy_disease,,lungs,anatomy,Niemann-Pick Disease Type C2,disease,"...foam cell accumulation in the lungs, liver, and spleen",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice, anatomy_disease,,liver,anatomy,Niemann-Pick Disease Type C2,disease,"...foam cell accumulation in the lungs, liver, and spleen",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice, anatomy_disease,,spleen,anatomy,Niemann-Pick Disease Type C2,disease,"...foam cell accumulation in the lungs, liver, and spleen",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice, anatomy_disease,,cerebellum,anatomy,Niemann-Pick Disease Type C2,disease,"...especially in the cerebellum, where initial PC loss and neuroinflammation were evident.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,cellcomp_protein,,lysosome,cellular_component,NPC2,protein/gene,"Consequently, cholesterol and other lipids accumulate within the lysosomes",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,anatomy_protein_present,,Purkinje cell ,anatomy,calbindin,protein/gene,The Purkinje cell (PC) marker calbindin...,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,anatomy_protein_present,,astrocytic,anatomy,GFAP,protein/gene,...the astrocytic marker GFAP...,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,anatomy_protein_present,,microglia,anatomy,IBA1,protein/gene,...and the microglia marker IBA1 were included,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,pathology_anatomy_present,,Purkinje cell loss,pathology,cerebellum,anatomy,"...especially in the cerebellum, where initial PC loss and neuroinflammation were evident.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37454976,Abstract,original article,in vivo,mice,pathology_phenotype,,Purkinje cell degeneration,pathology,Purkinje cell loss,phenotype,...assessed using hematoxylin and eosin staining... PC degeneration and neuroinflammation,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_protein,mutation,Niemann-Pick Disease Type C,disease,NPC1,protein/gene,Niemann-Pick disease Type C (NPC) is a neurodegenerative disease mainly caused by the mutation in NPC1 gene,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_disease,,Niemann-Pick Disease Type C,disease,neurodegenerative disease,disease,Niemann-Pick disease Type C (NPC) is a neurodegenerative disease,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C,disease, accumulated unesterified cholesterol,phenotype,leading to massive accumulation of unesterified cholesterol in the late endosome/lysosome of cells.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C,disease,Impaired phenotype of microglia,phenotype,Impaired phenotype of microglia is a hallmark in Npc1 mutant mice (Npc1− /− mice).,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_phenotype_positive,,Niemann-Pick Disease Type C,disease,impairment of lysosomal function,phenotype,findings indicated that loss of Npc1 in microglia caused... the impairment of lysosomal function,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,cellcomp_protein,,late endosome,cellular_component,NPC1,protein/gene,"mutation in NPC1 gene, leading to massive accumulation of unesterified cholesterol in the late endosome/lysosome of cells.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,phenotype_protein,,reactive microglia,phenotype,CD68,protein/gene,reactive microglia in the neonatal Npc1− /− mice indicated by the increased lysosome protein CD68,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,pathway_protein,,TREM2-mTOR signaling,pathway,NPC1,protein/gene,increased lysosome protein CD68 and phagocytic activity were associated with disrupted TREM2-mTOR signaling in microglia.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vitro,mice,drug_effect,, deleted Trem2 ,Gene therapy,microglial function,biological_process,"in Npc1-deficient BV2 cells, genetic deletion of Trem2 partially restored microglial function",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vitro,mice,drug_effect,, deleted Trem2 ,Gene therapy,mTOR signaling,pathway,"genetic deletion of Trem2 partially restored microglial function, probably via restored mTOR signaling.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice, bioprocess_protein,,microglial function,biological_process,NPC1,protein/gene,the mechanism of Npc1 in regulating microglial function is still unclear.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39173891,Abstract,original article,in vivo,mice,disease_phenotype_positive,,changed morphology of microglia,phenotype,Niemann-Pick Disease Type C,protein/gene,the mechanism of Npc1 in regulating microglial function is still unclear.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vivo,human,disease_protein,mutation,Niemann-Pick Disease Type C2,disease,NPC2,protein/gene,NgBR was speculated to stabilize nascent Niemann-Pick type C 2 (NPC2) to facilitate cholesterol transport out of lysosomes.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vitro,human,cellcomp_protein,,Nogo-B receptor ,cellular_component,NPC2,protein/gene,NgBR was speculated to stabilize nascent Niemann-Pick type C 2 (NPC2) to facilitate cholesterol transport out of lysosomes.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vivo,human,disease_protein,mutation,Parkinson's disease,disease,NUS1,protein/gene,Mutations in the NUS1 were known as risk factors for Parkinson's disease (PD).,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vitro,human,cellcomp_bioprocess,,Nogo-B receptor ,cellular_component,cholesterol transport,biological_process,NgBR was speculated to stabilize nascent Niemann-Pick type C 2 (NPC2) to facilitate cholesterol transport out of lysosomes,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vitro,human,cellcomp_cellcomp,,Nogo-B receptor ,cellular_component,lysosomes,cellular_component,NgBR was speculated to stabilize nascent Niemann-Pick type C 2 (NPC2) to facilitate cholesterol transport out of lysosomes,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Abstract,research,in vivo,human,disease_protein,,Parkinson's disease,disease,NgBR,protein/gene,"these observations suggest a role of NUS1, the ortholog of tango14, in PD-related pathogenesis.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Introduction (khổ cuối),research,in vivo,human,anatomy_disease,,central nervous system,anatomy,Niemann-Pick Disease Type C,disease,NPC disease shows cholesterol accumulation in the central nervous sys-tem (CNS),done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Introduction (khổ cuối),research,in vivo,human,disease_protein,,embryonic lethality,phenotype,NUS1,protein/gene,NUS1 knockout caused embryonic lethality in mice,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35695805,Introduction (khổ cuối),research,in vivo,human,cellcomp_cellcomp,,Nogo-B receptor ,cellular_component,endoplasmic reticulum,cellular_component,"NgBR is located at membranous structures in different functional cells, such as the endoplasmic reticulum (ER)",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40313113,,original article,,,,,,,,,,LẠC ĐỀ-- BỎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,phenotype_protein,mutation,Lysosomal storage disorders,phenotype,Hexb,protein/gene,"Sự bất thường gen Hexb gây ra các triệu chứng của bệnh Sandhoff. Trích: ""alleviated symptoms of Sandhoff disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,phenotype_protein,mutation,Lysosomal storage disorders,phenotype,Gla,protein/gene,"Sự bất thường gen Gla liên quan đến bệnh Fabry. Trích: ""alleviated symptoms of Fabry disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,phenotype_protein,mutation,Lysosomal storage disorders,phenotype,NPC1,protein/gene,"Gen NPC1 là một trong những nguyên nhân gây bệnh Niemann-Pick. Trích: ""alleviated symptoms of ... Niemann–Pick disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,phenotype_protein,mutation,Lysosomal storage disorders,phenotype,Ctsd,protein/gene,"Gen NPC1 là một trong những nguyên nhân gây bệnh Niemann-Pick. Trích: ""alleviated symptoms of ... Niemann–Pick disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,phenotype_protein,mutation,Lysosomal storage disorders,phenotype,Gba,protein/gene,"Gen NPC1 là một trong những nguyên nhân gây bệnh Niemann-Pick. Trích: ""alleviated symptoms of ... Niemann–Pick disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,disease_protein,dysregulation,STING,protein/gene,Lysosomal storage disorders,disease,"Tín hiệu STING hoạt động quá mức trong cơ chế bệnh sinh của LSD. Trích: ""cGAS–STING signalling is constitutive and hyperactive in a plethora of LSDs"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
