,entity_name,original_entity_types,PMID,relation,entity_side
0,1.02 kb deletion on exons 7,protein/gene,36576693,protein_protein,2
1,1.02 kb deletion on exons 8,protein/gene,36576693,protein_protein,2
4,966 bp deletion,protein/gene,36453132,disease_protein,2
20,abnormal activated microglial cell,phenotype,37571859,phenotype_protein,2
23,abnormal palmitoylation,phenotype,35462699,phenotype_protein,2
24,abnormal storage material in myocardium,phenotype,36071899,disease_phenotype_positive,2
27,absented vision loss,phenotype,34868216,phenotype_protein,1
29,accumulation of ceroid lipofuscins,phenotype,34597687,disease_phenotype_positive,2
30,accumulation of ceroid lipopigment,phenotype,36833170,phenotype_protein,1
32,accumulation of glycerophosphodiesters,phenotype,38447580,disease_phenotype_positive,2
33,accumulation of lipofuscin granules,phenotype,36324638,disease_phenotype_positive,2
34,accumulation of lipoprotein aggregates,phenotype,36368077,disease_phenotype_positive,2
35,accumulation of lysosomal storage,phenotype,35256654,disease_phenotype_positive,2
36,accumulation of lysosomal storage bodies,phenotype,34216614,phenotype_anatomy,1
37,accumulation of lysosomal storage deposits,phenotype,36368077,pathology_phenotype,2
41,accumulations of autofluorescent inclusions,phenotype,35427439,disease_phenotype_positive,2
42,acidified drinking water,exposure,37932327,drug_effect|exposure_disease,1
46,activation of lysosomal proteases,biological_process,35241513,bioprocess_protein,1
50,acylating the precursor lipid phosphatidylglycerol,biological_process,39548099,bioprocess_bioprocess,2
52,adeno-associated virus-mediated gene therapy,drug,39813314,drug_effect,1
56,adult-onset neuronal ceroid lipofuscinoses,disease,37566176,disease_mutation|disease_phenotype_positive|disease_protein,1
57,adult-onset neuronal ceroid lipofuscinosis,disease,38193346|39470529|39812704,disease_disease|disease_phenotype_positive|disease_protein,1|2
61,against neurodegeneration,phenotype,39364042,drug_effect,2
71,altered axonal growth,biological_process,40346285,bioprocess_protein,2
72,altered calcium signaling,phenotype,37899458,disease_phenotype_positive,2
73,altered glycerophospholipid metabolism,phenotype,37899458,disease_phenotype_positive,2
75,altered protein secretion,biological_process,37742391,bioprocess_protein,1
76,altered sphingolipid metabolism,phenotype,37899458,disease_phenotype_positive,2
80,ameliorated enteric neuron loss,phenotype,39813314,drug_effect,2
81,ameliorated neurodegeneration,phenotype,38211816,drug_effect,2
82,ameliorated neuropathology,phenotype,40333988,drug_effect,2
83,amelioration of cholesterol accumulation,phenotype,35929194,bioprocess_phenotype,2
84,amelioration of lipofuscin accumulation,phenotype,35929194,bioprocess_phenotype,2
85,amelioration of the formation of abnormal vacuoles,phenotype,35929194,bioprocess_phenotype,2
93,anterograde vesicular trafficking,biological_process,34188051,bioprocess_protein,1
94,anti-diabetec drug,drug,39364042,off_label_use,1
98,"anxiety,mood disturbances,fear",phenotype,37113551,disease_phenotype_positive,2
99,anxious/fear circuit,phenotype,37771451,disease_phenotype_positive|exposure_disease,2
109,attention may have limited abilities,phenotype,35627432,disease_phenotype_positive,2
111,attenuated lysosomal hypertrophy,phenotype,35033660,drug_effect,2
112,attenuated neuroinflammation,biological_process,36697260,drug_bioprocess,2
113,attenuated pathological phenotype,phenotype,38763444,drug_effect,2
117,autofluorescent intracellular inclusions,pathology,35447247,pathology_anatomy_present,1
118,autofluorescent lipofuscin,phenotype,34910516,disease_phenotype_positive|exposure_phenotype,2
119,autofluorescent lysosomal storage material accumulation,phenotype,38798824,disease_phenotype_positive,2
121,autofluorescent storage granules,pathology,35447247,pathology_anatomy_present,1
125,autophagic defects,phenotype,35921411|36368077,pathology_phenotype|phenotype_phenotype,2
126,autophagic flux,biological_process,38877824,phenotype_protein,2
127,autophagosome-related factor,cellular_component,36640303,cellcomp_protein,2
128,autophagy defects,phenotype,36880056,disease_phenotype_positive,2
130,autophagy impairment,biological_process,38763444,bioprocess_protein,1
132,autophagy pathway activation,phenotype,37296619,drug_effect,2
133,autophagy-lysosomal pathway,biological_process,35033660,bioprocess_protein|drug_bioprocess,1|2
137,averting skeletal muscle atrophy,phenotype,40702562,drug_effect,2
150,behavioural issue,phenotype,36964447,disease_phenotype_positive,2
152,bilateral progressive retinal thinning,phenotype,38049626,drug_effect,2
154,bis(monoacylglycero)phosphate deficiency,protein/gene,37708259,bioprocess_protein,1
160,bull’s eye maculopathy,phenotype,36964447,disease_phenotype_positive,2
162,c.1086del,mutation,38659533,disease_mutation,2
172,c.461-280_677 + 382del966,mutation,37039534,mutation_protein,2
183,c.768_769dup,mutation,39812704,disease_mutation,2
191,c.944dup,mutation,37621118,disease_mutation,2
218,cerebral accumulation of lipopigments,phenotype,36362641,phenotype_protein,2
219,cerebral neurodegenerative disease,disease,3542788,disease_disease,2
223,ceroid lipofuscin accumulation,phenotype,37571859|37645970|38183037,disease_phenotype_positive|phenotype_protein,2
238,childhood dementia,phenotype,38117343,disease_phenotype_positive,2
243,cholesterol accumulation in microglia,phenotype,39438652,phenotype_protein,2
244,cholesteryl ester accumulation,phenotype,38195117,disease_phenotype_positive,2
245,choreo-athetotic movements,phenotype,35917699,disease_phenotype_positive,2
250,cis-prenyltransferase activity,molecular_function,34382076,molfunc_protein,2
251,classic storage material accumulation,phenotype,36100791,disease_phenotype_positive,2
253,clearance of storage,phenotype,35033660,drug_effect,2
254,clearanced protein aggregates,phenotype,34214607,drug_effect,2
295,cognitive ability loss,phenotype,38693756,disease_phenotype_positive,2
300,combination in trans of two severe variants,phenotype,35457110,disease_phenotype_positive,2
301,combination of miglustat and trehalose,drug,35681535,drug_effect,1
304,completely rescued tremor,phenotype,37790379,drug_effect,2
308,cone system dysfunction,phenotype,34272513,disease_phenotype_positive|phenotype_phenotype,2
309,conjunctival endothelial cells,anatomy,36576693,pathology_anatomy_present,2
311,control clathrin-dependent endocytosis,biological_process,34618685,bioprocess_protein,1
313,correction of protein deficiency,biological_process,38252341,drug_effect,2
323,cysteine palmitoyl thioesterase,protein/gene,38055807,protein_protein,2
326,cysteine string protein α,protein/gene,38193346,protein_protein,1|2
