,entity_name,original_entity_types,PMID,relation,entity_side
1,11β-hydroxysteroid-dehydrogenase of type 2,protein/gene,37683773,phenotype_protein,2
2,11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,biological_process,37683773,chemical_bioprocess,2
6,2-hydroxypropyl-ß-cyclodextrin,drug,37210540,indication,1
10,2-hydroxypropyl-γ-cyclodextrin,drug,35891519|38852794,drug_bioprocess|drug_drug|drug_effect|indication,1
12,"3β,5α,6β-trihydroxycholanoyl-glycine",phenotype,35833379,disease_phenotype_positive,2
13,4-sulfobutylether-β-cyclodextrin,drug,36584173,drug_effect,1
29,aberrant pattern of interferon activation,phenotype,38254990,phenotype_protein,2
31,abnormal cholesterol accumulation,phenotype,36325261,disease_phenotype_positive,2
34,absence of serious adverse events,phenotype,40701909,drug_effect,2
38,accumulate multiple bis(monoacylglycero)phosphate species,phenotype,38895439,phenotype_protein,2
40,accumulating of cholesterol crystals in the lysosome,phenotype,34748340,disease_phenotype_positive,2
43,accumulation of cholesterol and other lipids,phenotype,34364974,disease_phenotype_positive,2
44,accumulation of cholesterol in late endosome,phenotype,36861884,phenotype_phenotype,2
45,accumulation of cholesterol in lysosome,phenotype,36861884,phenotype_phenotype,2
46,accumulation of cholesterol in lysosomes,phenotype,37612148,disease_phenotype_positive,2
48,accumulation of free cholesterol,phenotype,34810067|35850050|40436106,disease_phenotype_positive|phenotype_protein,1|2
50,accumulation of glycosphingolipids,phenotype,34810067|40215728,disease_phenotype_positive,2
54,accumulation of intracellular free cholesterol,phenotype,35086560,disease_phenotype_positive|phenotype_phenotype,2
55,accumulation of intracellular unesteri ed cholesterol,phenotype,34150357,disease_phenotype_positive,2
58,accumulation of multiple lipid species,phenotype,39185019,disease_phenotype_positive,2
59,accumulation of myofibroblasts,phenotype,36804125,disease_phenotype_positive,2
61,accumulation of tissue-specific lipids,phenotype,34535129,phenotype_protein,1
63,accumulation of unesterified cholesterol and glycolipids,phenotype,37458497,phenotype_phenotype,2
64,accumulation of unesterified cholesterol in lysosomes,phenotype,39339852,drug_effect,2
72,activation of pro‐inflammatory microglia,phenotype,36322609,disease_phenotype_positive,2
89,alleviate neuroinflammation,phenotype,40877976,drug_effect,2
92,alteration of serum oxysterols,phenotype,37989569,phenotype_protein,1
93,alteration of sphingolipids,phenotype,34061502,phenotype_protein,1
94,altered horizontal position smooth pursuit,phenotype,34096670,disease_phenotype_positive,2
95,altered horizontal saccadic peak velocity and latency,phenotype,34096670,disease_phenotype_positive,2
97,altered metabolites,phenotype,39452896,phenotype_protein,2
98,altered vertical saccadic duration and amplitude,phenotype,34096670,disease_phenotype_positive,2
103,ameliorated lysosome dysfunction,phenotype,34851695,drug_effect,2
104,ameliorated the cerebellar ataxic phenotype,phenotype,37369603,drug_effect,2
110,amyloidogenic processing,biological_process,34948052,bioprocess_protein,2
111,an autosomal recessive hereditary disease,disease,36199263,disease_disease,2
126,atrophy over time in these structures,phenotype,37612148,disease_phenotype_positive,2
128,attenuated cerebellar degeneration,pathology,37128603,drug_effect,2
129,attenuated cerebellar inflammation,pathology,37128603,drug_effect,2
131,attenuated lysosomal dysfunction,phenotype,38142760,phenotype_protein,2
132,attenuated microgliosis,phenotype,38142760,phenotype_protein,2
133,attenuated neuropathology,phenotype,37371089|37373322,phenotype_protein,1|2
137,autophagic flux,biological_process,35081253,bioprocess_protein,1
138,autophagy defects,phenotype,38183651,drug_effect,2
140,autophagy reactivation,biological_process,38821960,bioprocess_bioprocess,1
145,autosomal recessive lysosomal disorder,phenotype,34455703,disease_phenotype_positive,2
146,autosomal recessive lysosomal storage disease,disease,36325261,disease_disease,2
147,autosomal recessive lysosomal storage disorder,disease,34682919,disease_disease,2
149,autosomal recessive neurovisceral disease,disease,38087834,disease_disease,1
150,autosomal recessive rare disease,disease,35164809,disease_disease,2
152,axonal autophagic stress,phenotype,34085599,disease_phenotype_positive,2
153,axonal autophagic vacuoles accumulation,phenotype,34085599,disease_phenotype_positive,2
