,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
0,adult neuronal ceroid lipofuscinosis,DNAJC5,disease,protein/gene,disease_protein,34188051,C0022797|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
6,secretory vesicles,DNAJC5,cellular_component,protein/gene,cellcomp_protein,34188051,C0886515,in_kg,,,
16,Endoplasmic Reticulum,CLN8,cellular_component,protein/gene,cellcomp_protein,34201538,in_kg,in_kg,,,
17,Endoplasmic Reticulum-Golgi intermediate compartment,CLN8,cellular_component,protein/gene,cellcomp_protein,34201538,in_kg,in_kg,,,
97,CTSD,autophagy,protein/gene,biological_process,bioprocess_protein,34331747,in_kg,in_kg,,,
100,CTSD,lysosome,protein/gene,cellular_component,cellcomp_protein,34331747,in_kg,in_kg,,,
101,CTSD,brain,protein/gene,anatomy,anatomy_protein_present,34331747,in_kg,in_kg,,,
104,Neuronal Ceroid Lipofuscinoses,CTSD,disease,protein/gene,disease_protein,34331747,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
105,cellular localization,CTSD,cellular_component,protein/gene,cellcomp_protein,34331747,in_kg,in_kg,,,
110,DHDDS,neurodevelopmental and neurodegenerative disorder,protein/gene,disease,disease_protein,34382076,in_kg,C5568766,,complex neurodevelopmental disorder,complex neurodevelopmental disorder
112,neurodevelopmental and neurodegenerative disorder,action myoclonus,disease,phenotype,disease_phenotype_positive,34382076,C5568766,in_kg,complex neurodevelopmental disorder,,complex neurodevelopmental disorder
116,NUS1,neurodevelopmental and neurodegenerative disorder,protein/gene,disease,disease_protein,34382076,in_kg,C5568766,,complex neurodevelopmental disorder,complex neurodevelopmental disorder
118,neurodevelopmental and neurodegenerative disorder,ataxia,disease,phenotype,disease_phenotype_positive,34382076,C5568766,in_kg,complex neurodevelopmental disorder,,complex neurodevelopmental disorder
123,DHDDS,endoplasmic reticulum,protein/gene,cellular_component,cellcomp_protein,34382076,in_kg,in_kg,,,
125,retinitis pigmentosa 59,DHDDS,disease,protein/gene,disease_protein,34382076,C0035334|C3151227,in_kg,retinitis pigmentosa,,retinitis pigmentosa
126,neurodevelopmental and neurodegenerative disorder,genetic progressive encephalopathies with myoclonus,disease,disease,disease_disease,34382076,C5568766,C4755298,complex neurodevelopmental disorder,myoclonic encephalopathy in non-progressive disorder,entity1:complex neurodevelopmental disorder|entity2:myoclonic encephalopathy in non-progressive disorder
151,respiratory failure,death,phenotype,phenotype,phenotype_phenotype,34491000,in_kg,C1306577,,,
152,neurological deterioration,death,phenotype,phenotype,phenotype_phenotype,34491000,C1536136|C4024908,C1306577,Rapid neurologic deterioration,,Rapid neurologic deterioration
155,Retinal degeneration,retinal pigment epithelium mottling,phenotype,phenotype,phenotype_phenotype,34532411,in_kg,C1857644|C4227990,,Retinal pigment epithelial mottling,Retinal pigment epithelial mottling
