,entity_name,original_entity_types,PMID,relation,entity_side
0,", improved gross motor skills",,,,
1,11β-hydroxysteroid-dehydrogenase of type 2,protein/gene,37683773,phenotype_protein,2
2,11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,biological_process,37683773,chemical_bioprocess,2
6,"2-hydroxypropyl-beta-cyclodextrin (vts-270, adrabetadex)",,,,
8,2-hydroxypropyl-ß-cyclodextrin,drug,36614015|37210540,drug_drug|drug_protein|indication,1
10,2-hydroxypropyl-β-cyclodextrin containing polyrotaxanes,,,,
11,2-hydroxypropyl-γ-cd,,,,
12,2-hydroxypropyl-γ-cyclodextrin,drug,35891519|38852794,drug_bioprocess|drug_drug|drug_effect|indication,1
14,"3β,5α,6β-trihydroxycholanoyl-glycine",phenotype,35833379,disease_phenotype_positive,2
15,4-fold cholesterol accumulation,phenotype,40301465,exposure_phenotype,2
16,4-sulfobutylether-β-cyclodextrin,drug,36584173,drug_effect,1
17,5-domain npc clinical severity scale,,,,
18,6-o-α-maltosyl-β cyclodextrin,,,,
19,6-o-α-maltosyl-β-cd,,,,
20,692-854 amino acid,protein/gene,39762312,disease_protein,2
23,aav transduction,,,,
24,aav-br1,,,,
25,aav-br1-npc2,,,,
26,aav-php.b vector,,,,
29,aav9 gene therapy,,,,
31,aav9 vector for gene therapy,,,,
32,aav9-hnpc1,,,,
34,aberrant mglur5 lysosomal accumulation,,,,
35,aberrant pattern of interferon activation,phenotype,38254990,phenotype_protein,2
37,ablated tmem241,,,,
38,abnormal accumulation of lipids,phenotype,37047194,disease_phenotype_positive,2
39,abnormal cholesterol accumulation,phenotype,36325261,disease_phenotype_positive,2
40,abnormal endosomal-lysosomal trafficking,,,,
41,abnormal intracellular lipid storage,phenotype,40866990,disease_phenotype_positive,2
43,absence of serious adverse events,phenotype,40701909,drug_effect,2
44,absence of the hyper-glycosylated lysosome-associated membrane protein 1,,,,
45,acat1-specific inhibitor,,,,
47,accumulate multiple bis(monoacylglycero)phosphate species,phenotype,38895439,phenotype_protein,2
49,accumulating of cholesterol crystals in the lysosome,phenotype,34748340,disease_phenotype_positive,2
52,accumulation of cholesterol and other lipids,phenotype,34364974,disease_phenotype_positive,2
53,accumulation of cholesterol in late endosome,phenotype,36861884,phenotype_phenotype,2
54,accumulation of cholesterol in lysosome,phenotype,36861884,phenotype_phenotype,2
55,accumulation of cholesterol in lysosomes,phenotype,37612148,disease_phenotype_positive,2
57,accumulation of free cholesterol,phenotype,34810067|35850050|40436106,disease_phenotype_positive|phenotype_protein,1|2
59,accumulation of glycosphingolipids,phenotype,34810067|40215728,disease_phenotype_positive,2
61,accumulation of gm3 gangliosides,,,,
63,accumulation of intracellular free cholesterol,phenotype,35086560,disease_phenotype_positive|phenotype_phenotype,2
64,accumulation of intracellular unesteri ed cholesterol,phenotype,34150357,disease_phenotype_positive,2
66,accumulation of lipid vesicles,phenotype,37908116,phenotype_phenotype,2
68,accumulation of multiple lipid species,phenotype,39185019,disease_phenotype_positive,2
69,accumulation of myofibroblasts,phenotype,36804125,disease_phenotype_positive,2
71,accumulation of tissue-specific lipids,phenotype,34535129,phenotype_protein,1
73,accumulation of unesterified cholesterol and glycolipids,phenotype,37458497,phenotype_phenotype,2
74,accumulation of unesterified cholesterol in lysosomes,phenotype,39339852,drug_effect,2
75,accumulation of unesterified sphingolipids,phenotype,36638187,disease_phenotype_positive,2
80,acidic pair (ncr1),,,,
84,activation of pro‐inflammatory microglia,phenotype,36322609,disease_phenotype_positive,2
85,activation of the adenosine a2ar subtype subsequent,,,,
86,activity-based probe 7,,,,
87,activity-based probe 8,,,,
90,acyl-coenzyme a:cholesterol acyltransferase 1 gene knockout,,,,
93,adeno-associated viral vector-mediated,,,,
94,adeno-associated viral vector-mediated gene therapy,,,,
100,"adrabetadex (2-hydroxypropyl-beta-cyclodextrin, vts-270)",,,,
106,ailments (niemann-pick disease type c),,,,
107,alleviate neuroinflammation,phenotype,40877976,drug_effect,2
109,alpha-cyclodextrin derivatives,drug,40847051,drug_effect,1
112,alteration of serum oxysterols,phenotype,37989569,phenotype_protein,1
113,alteration of sphingolipids,phenotype,34061502,phenotype_protein,1
114,altered bmp levels,,,,
115,altered cathepsin d,,,,
116,altered cholesterol sensing,phenotype,40301465,exposure_phenotype,2
117,altered horizontal position smooth pursuit,phenotype,34096670,disease_phenotype_positive,2
118,altered horizontal saccadic peak velocity and latency,phenotype,34096670,disease_phenotype_positive,2
119,altered lysosomal ca2+ homeostasis,,,,
120,altered members of the complement family,phenotype,36638187,disease_phenotype_positive,2
121,altered metabolites,phenotype,39452896,phenotype_protein,2
122,altered vertical saccadic duration and amplitude,phenotype,34096670,disease_phenotype_positive,2
123,alzheimer's features,,,,
124,alzheimer’s disease,,,,
126,ameliorate purkinje cell degeneration,,,,
127,ameliorated cholesterol accumulation,phenotype,40184172,drug_effect,2
128,ameliorated lysosome dysfunction,phenotype,34851695,drug_effect,2
129,ameliorated lysosome function,biological_process,38294974,drug_bioprocess,2
130,ameliorated metabolic function,biological_process,38294974,drug_bioprocess,2
131,ameliorated the cerebellar ataxic phenotype,phenotype,37369603,drug_effect,2
137,amyloid- 1-42 deposition,,,,
138,amyloidogenic processing,biological_process,34948052,bioprocess_protein,2
139,an autosomal recessive hereditary disease,disease,36199263,disease_disease,2
141,anti-aav2 neutralizing antibodies,,,,
142,anti-aav9 neutralizing antibodies,,,,
145,anti-nmdare psychosis,,,,
151,apoe4 combined with a synthetic lipopeptide,,,,
152,apoe4 comined with a synthetic lipopeptide,,,,
153,app c-terminal fragments,,,,
155,armotocol,drug,40525490,drug_drug,1|2
164,atrophy over time in these structures,phenotype,37612148,disease_phenotype_positive,2
165,attenuated 2’3’-2′3′ cyclic gmp-amp production,,,,
166,attenuated cerebellar degeneration,pathology,37128603,drug_effect,2
167,attenuated cerebellar inflammation,pathology,37128603,drug_effect,2
168,attenuated hepatic telyocytes multipotency,,,,
169,attenuated lysosomal dysfunction,phenotype,38142760,phenotype_protein,2
170,attenuated microgliosis,phenotype,38142760,phenotype_protein,2
171,attenuated neuropathology,phenotype,37371089|37373322,phenotype_protein,1|2
172,attenuating neuroinflammation,phenotype,36638187,phenotype_protein,1
178,autoimmune phenomena,phenotype,35360843,disease_phenotype_positive,2
179,autophagic flux,biological_process | phenotype,35081253|37047194,bioprocess_protein|phenotype_cellcomp,1|2
180,autophagy defects,phenotype,38183651,drug_effect,2
181,autophagy deficit,,,,
182,autophagy impairment,phenotype,37047194,phenotype_phenotype,2
183,autophagy reactivation,biological_process,38821960,bioprocess_bioprocess,1
184,autophagy-nad axis,,,,
189,autosomal recessive lysosomal disorder,phenotype,34455703,disease_phenotype_positive,2
190,autosomal recessive lysosomal storage disease,disease,36325261,disease_disease,2
191,autosomal recessive lysosomal storage disorder,disease,34682919,disease_disease,2
193,autosomal recessive neurodegenerative lysosomal disorder,disease,37008782,disease_disease,1
194,autosomal recessive neurovisceral disease,disease,38087834,disease_disease,1
195,autosomal recessive rare disease,disease,35164809,disease_disease,2
197,autosomal-recessive lysosomal disorder,disease,40513057,disease_disease,2
199,axonal autophagic stress,phenotype,34085599,disease_phenotype_positive,2
200,axonal autophagic vacuoles accumulation,phenotype,34085599,disease_phenotype_positive,2
204,axonal trafficking defects,phenotype,34592985,drug_effect,2
207,b-d-arabinofuranosyl cyclitol aziridine,,,,
208,b-d-araf aziridine configuration,,,,
209,b. besnoiti replication,,,,
210,bace1 levels increased 3-fold,,,,
211,backward leaning during gait,phenotype,35853348,disease_phenotype_positive,2
213,bdnf expression,,,,
214,beam walk latency,phenotype,35563467,phenotype_protein,2
224,better attention,,,,
225,better neurologic status,phenotype,38294974,drug_effect,2
228,biological activity of telocytes,,,,
229,bis(monoacylglycero)phosphate (bmp),,,,
230,bis(monoacylglycero)phosphate biosynthesis pathway,pathway,36823305,pathway_protein,2
231,blinks to elicit saccades,phenotype,34096670,disease_phenotype_positive,2
232,blocked equilibrative nucleoside transporter ent1,,,,
234,blood-cerebrospinal fluid enlarged extracellular vesicles,anatomy,34720883,anatomy_protein_present,1
235,bmp hydrolysis,,,,
237,bor1 knockout,Gene therapy,40504793,drug_effect,1
238,borc-arl8-hops ensemble,,,,
240,brain capillary endothelial cells,anatomy,36431844,anatomy_protein_present|drug_effect,1|2
244,brain iron dysregulation,phenotype,37348967,disease_phenotype_positive,2
246,brain microvascular endothelial cells,anatomy,39706535,anatomy_disease|anatomy_protein_present,1
247,brain region inflammation,phenotype,34944681,disease_phenotype_positive,2
250,brainiac mutants,protein/gene,37815467,bioprocess_protein|cellcomp_protein|molfunc_protein|phenotype_protein|protein_protein,1|2
251,broken hepatocytes,phenotype,37429811,disease_phenotype_positive,2
252,buildup of autophagic organelles in dystrophic axons,phenotype,34085599,disease_phenotype_positive,2
253,buildup of endocytic in dystrophic axons,phenotype,34085599,disease_phenotype_positive,2
255,c-abl activation,,,,
256,c-abl inhibitor,,,,
258,c. 3182t>c,,,,
259,"c.1204_1205tt>gc, p.f402a",,,,
260,c.1290delc (p.f431lfs*18),,,,
261,c.1947+5g>c,,,,
262,c.1970g>a,,,,
263,c.1993c>g,,,,
264,c.2037delg,,,,
265,"c.2486t>g, p.l829r",,,,
266,c.2795+5 g>c,,,,
267,c.2807g>a(p.g936d),,,,
268,c.2821 t>c,,,,
269,c.2872c>g,,,,
270,c.2920_2923delcctg,,,,
271,c.3126delc,,,,
272,c.3604_3605insa (p.i1202nfs*56),,,,
273,c.3632 t>a,,,,
274,c.364-4c>t,,,,
275,"c.3722t>a, p.l1241*",,,,
276,"c.376g>a, p.v126m",,,,
277,c.406c>t,,,,
278,c.542c>a,,,,
279,c.709c>t,,,,
280,c.881+3a>g,,,,
281,ca2+ dyshomeostasis,,,,
284,ca2+/calmodulindependent protein kinases (camks),,,,
290,cancer cell pyroptosis,biological_process,41013744,drug_bioprocess,2
301,cationic amphiphilic agents,drug,36325261,drug_effect,1
302,cationic amphiphilic drugs,,,,
304,caused central nervous system inflammation,phenotype,35694196,drug_effect,2
305,caused demyelination,phenotype,35694196,drug_effect,2
306,caused neurological side effects,phenotype,35694196,drug_effect,2
308,cd22 blocking antibodies,,,,
311,cell phenotypic changes,phenotype,40301465,phenotype_phenotype,2
312,cell surface-accessible cholesterol,,,,
314,cellular and systemic growth control,biological_process,35245460,exposure_bioprocess,2
315,cellular cholesterol trafficking,biological_process,40026274,bioprocess_protein,1|2
317,cellular organelles,cellular_component,34455703,cellcomp_protein|exposure_cellcomp,2
318,cellular pathology (npc),,,,
321,central nervous system cholesterol metabolism,biological_process,37670901,bioprocess_protein,1
326,ceramide homeostasis,biological_process,34175669,bioprocess_protein,2
328,cerebellar anterior purkinje neurons,,,,
332,cerebellar hypometabolism progression,phenotype,40009086,drug_effect,2
333,cerebellar lobules i-iii,,,,
335,cerebellar lobules iii,,,,
337,cerebellar pathology,pathology,38868844,disease_pathology,2
339,cerebellar- cerebral circuitry,anatomy,38131307,anatomy_disease,1
341,cerebral glucose metabolism,biological_process,34387740,drug_bioprocess,2
343,cerebrospinal fluid neurodegeneration,protein/gene,37670901,protein_protein,1
345,cfs level of total tau,,,,
346,cg lipid burden,,,,
349,changed morphology of microglia,phenotype,39173891,disease_phenotype_positive,1
350,changes in stx7,,,,
351,changes in vamp7,,,,
352,changes in vti1b,,,,
353,childhood alzheimer's,,,,
357,chloride channel target therapy,drug,38645072,indication,1
359,"cholestane-3β,5α,6β-triol",,,,
360,"cholestane-3β,5α,6β-triol ; trihydroxycholanic acid glycinate ;n-palmitoyl-o-phosphocholineserine",,,,
361,"cholestane-5α,6β-diol-3β-sulfonate",chemical,37683773,chemical_bioprocess|chemical_effect|chemical_protein,1
366,cholesterol accumlation,phenotype,38142760,phenotype_cellcomp,1
367,cholesterol accumulates in npc1-deficient lysosomes,,,,
