,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
0,", improved gross motor skills",,", improved gross motor skills",,,[],[],,,
1,11β-hydroxysteroid-dehydrogenase of type 2,protein/gene,11β-hydroxysteroid-dehydrogenase of type 2,,,[],[],37683773,phenotype_protein,2
2,11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,biological_process,11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,,,[],[],37683773,chemical_bioprocess,2
3,2- hydroxypropyl- β- cyclodextrin,drug,2- hydroxypropyl- β- cyclodextrin,hydroxypropylbetadex (0.58-0.68 MS),C0046237,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",40064165,drug_protein|indication,1
4,2-hydroxypropyl-b-cyclodextrin,drug,2-hydroxypropyl-b-cyclodextrin,hydroxypropylbetadex (0.58-0.68 MS),C0046237,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",35081253|36356931|38448301,drug_bioprocess|drug_effect|indication,1
5,2-hydroxypropyl-beta-cyclodextrin,drug,2-hydroxypropyl-beta-cyclodextrin,hydroxypropylbetadex (0.58-0.68 MS),C0046237,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",34150357|34364974|35452076|36431844|36920149|39048052|40847051,drug_bioprocess|drug_drug|drug_effect|indication|off_label_use,1|2
6,"2-hydroxypropyl-beta-cyclodextrin (vts-270, adrabetadex)",,"2-hydroxypropyl-beta-cyclodextrin (vts-270, adrabetadex)",,,[],[],,,
7,2-hydroxypropyl-beta-cyclodextrin.,drug,2-hydroxypropyl-beta-cyclodextrin.,hydroxypropylbetadex (0.58-0.68 MS),C0046237,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",36431844,anatomy_protein_present|drug_effect,1|2
8,2-hydroxypropyl-ß-cyclodextrin,drug,2-hydroxypropyl-ß-cyclodextrin,,,[],[],36614015|37210540,drug_drug|drug_protein|indication,1
9,2-hydroxypropyl-β-cyclodextrin,disease | drug,2-hydroxypropyl-β-cyclodextrin,hydroxypropylbetadex (0.58-0.68 MS),C0046237,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",34296265|34592985|35140266|35891519|36116252|36279795|36470574|37407594,disease_disease|drug_bioprocess|drug_drug|drug_effect|drug_protein|indication,1
10,2-hydroxypropyl-β-cyclodextrin containing polyrotaxanes,,2-hydroxypropyl-β-cyclodextrin containing polyrotaxanes,,,[],[],,,
11,2-hydroxypropyl-γ-cd,,2-hydroxypropyl-γ-cd,,,[],[],,,
12,2-hydroxypropyl-γ-cyclodextrin,drug,2-hydroxypropyl-γ-cyclodextrin,,,[],[],35891519|38852794,drug_bioprocess|drug_drug|drug_effect|indication,1
13,24s-hydroxycholesterol,,24s-hydroxycholesterol,24-hydroxycholesterol,C0208133,['T109'],['Organic Chemical'],,,
14,"3β,5α,6β-trihydroxycholanoyl-glycine",phenotype,"3β,5α,6β-trihydroxycholanoyl-glycine",,,[],[],35833379,disease_phenotype_positive,2
15,4-fold cholesterol accumulation,phenotype,4-fold cholesterol accumulation,,,[],[],40301465,exposure_phenotype,2
16,4-sulfobutylether-β-cyclodextrin,drug,4-sulfobutylether-β-cyclodextrin,,,[],[],36584173,drug_effect,1
17,5-domain npc clinical severity scale,,5-domain npc clinical severity scale,,,[],[],,,
18,6-o-α-maltosyl-β cyclodextrin,,6-o-α-maltosyl-β cyclodextrin,,,[],[],,,
19,6-o-α-maltosyl-β-cd,,6-o-α-maltosyl-β-cd,,,[],[],,,
20,692-854 amino acid,protein/gene,692-854 amino acid,,,[],[],39762312,disease_protein,2
21,7-ketocholesterol,phenotype | protein/gene,7-ketocholesterol,7-ketocholesterol,C0049920,['T109'],['Organic Chemical'],34303826|38131230,disease_protein|phenotype_phenotype|phenotype_protein,1|2
22,a2a receptor,,a2a receptor,Adenosine A2A Receptor,C0255998,"['T116', 'T192']","['Amino Acid, Peptide, or Protein', 'Receptor']",,,
23,aav transduction,,aav transduction,,,[],[],,,
24,aav-br1,,aav-br1,,,[],[],,,
25,aav-br1-npc2,,aav-br1-npc2,,,[],[],,,
26,aav-php.b vector,,aav-php.b vector,,,[],[],,,
27,aav2,,aav2,AAV2-hRPE65v2,C5201263,['T005'],['Virus'],,,
28,aav9,,aav9,AAV9.LAMP2B,C5834378,"['T114', 'T121']","['Nucleic Acid, Nucleoside, or Nucleotide', 'Pharmacologic Substance']",,,
29,aav9 gene therapy,,aav9 gene therapy,,,[],[],,,
30,aav9 vector,,aav9 vector,Adeno-associated viral vector serotype 9 (AAV9) containing human RPE65 gene,C5873064,['T028'],['Gene or Genome'],,,
31,aav9 vector for gene therapy,,aav9 vector for gene therapy,,,[],[],,,
