,original_name,suggested_name,expected_entity_type,expected_tuis,PMID,relation,entity_side,umls_search_ok,suggested_cui,suggested_umls_name,suggested_semantic_types,suggested_semantic_type_names,type_match_expected_category
0,partial exon skipping,exon-exon junction complex disassembly,biological_process,"T038,T039",10.1093/qjmed/hcaf246,bioprocess_protein,2,True,C3894099,exon-exon junction complex disassembly,['T044'],['Molecular Function'],False
1,normalized neurodegenerative phenotype,inherited neurodegenerative disorder,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.omtm.2022.03.011,drug_effect,2,False,,,[],[],
2,increased lyso-platelet activating factor,Increased level of platelet-activating factor,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,True,C4073143,Increased level of platelet-activating factor,['T033'],['Finding'],True
3,reduced inflammatory cytokines,negative regulation of cytokine production involved in inflammatory response,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/life11101007,drug_effect,2,True,C3269276,negative regulation of cytokine production involved in inflammatory response,['T040'],['Organism Function'],False
4,protein translation readthrough of stop codons,regulation of translational termination,biological_process,"T038,T039",10.1038/s41586-025-09732-2,drug_bioprocess,2,True,C1157545,regulation of translational termination,['T043'],['Cell Function'],False
5,elevated levels of proinflammatory cytokines,Abnormality of serum cytokine level,phenotype,"T019,T020,T033,T034,T041,T184",10.1007/s12031-025-02395-8,disease_phenotype_positive,2,True,C4023535,Abnormal circulating cytokine concentration,['T033'],['Finding'],True
6,decreased phosphatidylcholine,negative regulation of phosphatidylcholine catabolic process,cellular_component,,10.3389/fmolb.2022.892248,cellcomp_protein,2,True,C2612207,negative regulation of phosphatidylcholine catabolic process,['T044'],['Molecular Function'],
7,perifoveal whitening,Abnormality of foveal pigmentation,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ajoc.2025.102381,phenotype_anatomy,2,True,C4072981,Abnormality of foveal pigmentation,['T033'],['Finding'],True
8,reduced lysosomal mass,lysosomal matrix,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/pharmaceutics17050628,drug_effect,2,True,C4235311,lysosomal matrix,['T026'],['Cell Component'],False
9,hippocampus,hippocampal field,anatomy,"T017,T018,T021,T022,T023,T024,T029,T030",10.3389/fmolb.2022.892248,anatomy_protein_present,1,True,C1134421,"CA4 Region, Hippocampal",['T023'],"['Body Part, Organ, or Organ Component']",True
10,metabolic disease,acquired metabolic disease,Disease,"T047,T048,T191",10.3390/jpm13081222,disease_disease,2,True,C0751744,"Brain Diseases, Metabolic, Acquired",['T047'],['Disease or Syndrome'],True
11,early death,Prenatal death,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2024.108615|10.3390/jpm13081222,disease_phenotype_positive|phenotype_phenotype,2,True,C0015927,Fetal Death,['T046'],['Pathologic Function'],False
12,enhanced frequent +1 frameshifting,translational frameshifting,biological_process,"T038,T039",10.1016/j.isci.2024.109413,bioprocess_protein,2,True,C3821008,viral translational frameshifting,['T045'],['Genetic Function'],False
13,lysosomal β-hexosaminidase activity,Reduced beta-hexosaminidase A activity,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2022.106983,disease_phenotype_negative,2,True,C5970465,Reduced beta-hexosaminidase A activity,['T033'],['Finding'],True
14,lower motor neuron disease,motor neuron disease,disease,"T047,T048,T191",10.1007/s10072-021-05757-3,disease_disease,2,True,C0085084,Motor Neuron Disease,['T047'],['Disease or Syndrome'],True
15,halted motor decline,Motor deterioration,phenotype,"T019,T020,T033,T034,T041,T184",10.1371/journal.pone.0315005,drug_effect,2,True,C1866284,Motor deterioration,['T033'],['Finding'],True
16,increased β-hexosaminidase activity,Reduced beta-hexosaminidase A activity,phenotype,"T019,T020,T033,T034,T041,T184",10.1172/JCI183434|10.3390/ijms231810672,drug_effect,2,True,C5970465,Reduced beta-hexosaminidase A activity,['T033'],['Finding'],True
17,enhance +1 ribosomal frameshifting,positive regulation of translational frameshifting,biological_process,"T038,T039",10.1016/j.isci.2024.109413,bioprocess_protein,2,True,C3270822,positive regulation of translational frameshifting,['T038'],['Biologic Function'],True
18,restored enzyme deficiency,d-bifunctional protein deficiency,phenotype,"T019,T020,T033,T034,T041,T184",10.4103/1673-5374.375328,drug_effect,2,True,C0342870,Bifunctional peroxisomal enzyme deficiency,['T047'],['Disease or Syndrome'],False
19,poor visual acuity,Very low visual acuity,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ajoc.2025.102381,disease_phenotype_positive,2,True,C5139142,Very low visual acuity,['T033'],['Finding'],True
20,enzyme activity reduction,enzyme inhibitor activity,molecular_function,T043,10.1016/j.ymgme.2021.05.001,molfunc_protein,2,True,C1152555,enzyme inhibitor activity,['T044'],['Molecular Function'],False
21,elevated phosphatidylcholine-ether,Elevated circulating lysophosphatidylcholine concentration,cellular_component,,10.3389/fmolb.2022.892248,cellcomp_protein,2,True,C5937189,Elevated circulating lysophosphatidylcholine concentration,['T033'],['Finding'],
22,psychiatric symptoms,mental disorder,phenotype,"T019,T020,T033,T034,T041,T184",10.5334/tohm.726,disease_phenotype_positive,2,True,C0004936,Mental disorders,['T048'],['Mental or Behavioral Dysfunction'],False
23,increased lysosomal permeability,regulation of lysosomal membrane permeability,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells10113122,disease_phenotype_positive,2,True,C3269164,regulation of lysosomal membrane permeability,['T043'],['Cell Function'],False
24,neuronal swelling,Diffuse axonal swelling,phenotype,"T019,T020,T033,T034,T041,T184",10.1111/ene.16069,phenotype_phenotype,2,True,C1865417,Diffuse axonal swelling,['T033'],['Finding'],True
25,attenuated glial activation,glial cell activation,phenotype,"T019,T020,T033,T034,T041,T184",10.1515/nipt-2023-0027,drug_effect,2,True,C4690080,glial cell activation,['T043'],['Cell Function'],False
