entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,entity_name_norm,expert_resolution
1.02 kb deletion on exons 7,protein/gene,False,,C3482296,True,False,,,,1.02 kb deletion on exons 7,expert_cui
1.02 kb deletion on exons 8,protein/gene,False,,C3482296,True,False,,,,1.02 kb deletion on exons 8,expert_cui
966 bp deletion,protein/gene,False,,C3482296,True,False,,,,966 bp deletion,expert_cui
abnormal activated microglial cell,phenotype,False,,C3895752,False,True,,,,abnormal activated microglial cell,not_accepted
abnormal palmitoylation,phenotype,False,,C3822971,False,True,,,,abnormal palmitoylation,not_accepted
abnormal storage material in myocardium,phenotype,False,,C0268279,True,False,,,,abnormal storage material in myocardium,expert_cui
absented vision loss,phenotype,False,,C3665386,False,True,Preserved vision,C4228013,,absented vision loss,not_accepted
accumulation of ceroid lipofuscins,phenotype,False,,C0268279,True,False,,,,accumulation of ceroid lipofuscins,expert_cui
accumulation of ceroid lipopigment,phenotype,False,,C0268279,True,False,,,,accumulation of ceroid lipopigment,expert_cui
accumulation of glycerophosphodiesters,phenotype,False,,,True,False,,,,accumulation of glycerophosphodiesters,expert_accept_unresolved
accumulation of lipofuscin granules,phenotype,False,,C0268279,True,False,,,,accumulation of lipofuscin granules,expert_cui
accumulation of lipoprotein aggregates,phenotype,False,,C0268279,True,False,,,,accumulation of lipoprotein aggregates,expert_cui
accumulation of lysosomal storage,phenotype,False,,C0085078,True,False,,,,accumulation of lysosomal storage,expert_cui
accumulation of lysosomal storage bodies,phenotype,False,,C0085078,True,False,,,,accumulation of lysosomal storage bodies,expert_cui
accumulation of lysosomal storage deposits,phenotype,False,,C0085078,True,False,,,,accumulation of lysosomal storage deposits,expert_cui
accumulations of autofluorescent inclusions,phenotype,False,,C3809248,True,False,,,,accumulations of autofluorescent inclusions,expert_cui
acidified drinking water,exposure,False,,,False,True,Acidification,C2987513,,acidified drinking water,not_accepted
activation of lysosomal proteases,biological_process,False,,C4231755,True,False,,,,activation of lysosomal proteases,expert_cui
acylating the precursor lipid phosphatidylglycerol,biological_process,False,,C3271638,True,False,,,,acylating the precursor lipid phosphatidylglycerol,expert_cui
adeno-associated virus-mediated gene therapy,drug,False,,C0877350,True,False,,,,adeno-associated virus-mediated gene therapy,expert_cui
adult-onset neuronal ceroid lipofuscinoses,disease,True,neuronal ceroid lipofuscinosis (C0751383),C0022797,True,False,,,,adult-onset neuronal ceroid lipofuscinoses,expert_cui
adult-onset neuronal ceroid lipofuscinosis,disease,True,neuronal ceroid lipofuscinosis,C0022798,True,False,,,,adult-onset neuronal ceroid lipofuscinosis,expert_cui
against neurodegeneration,phenotype,True,Cerebral cortical neurodegeneration (C1859863),,False,True,Neuroprotection,C0598958,,against neurodegeneration,not_accepted
altered axonal growth,biological_process,False,,C4025609,True,False,,,,altered axonal growth,expert_cui
altered calcium signaling,phenotype,False,,C2259037,False,True,,,,altered calcium signaling,not_accepted
altered glycerophospholipid metabolism,phenotype,False,,,True,False,,,,altered glycerophospholipid metabolism,expert_accept_unresolved
altered protein secretion,biological_process,False,,,True,False,,,,altered protein secretion,expert_accept_unresolved
altered sphingolipid metabolism,phenotype,False,,C3649367,True,False,,,,altered sphingolipid metabolism,expert_cui
ameliorated enteric neuron loss,phenotype,False,,C4293668,False,True,,,,ameliorated enteric neuron loss,not_accepted
ameliorated neurodegeneration,phenotype,False,,,True,False,,,,ameliorated neurodegeneration,expert_accept_unresolved
ameliorated neuropathology,phenotype,False,,,True,False,,,,ameliorated neuropathology,expert_accept_unresolved
amelioration of cholesterol accumulation,phenotype,False,,,True,False,,,,amelioration of cholesterol accumulation,expert_accept_unresolved
