Unnamed: 0,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name,entity1_expert_accepted,entity1_expert_suggested_name,entity1_expert_cui,entity1_expert_resolution,entity2_expert_accepted,entity2_expert_suggested_name,entity2_expert_cui,entity2_expert_resolution,mapping_version
0,Canavan disease,leukodystrophy,disease,disease,disease_disease,35187608,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
1,Canavan disease,macrocephaly,disease,phenotype,disease_phenotype_positive,35187608,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2,Canavan disease,neurologic impairment,disease,phenotype,disease_phenotype_positive,35187608,in_kg,C1854838|C5233653,,Progressive neurologic deterioration,Progressive neurologic deterioration,,,,,,,,,v2_expert_merged
10,Canavan disease,ASPA,disease,protein/gene,disease_protein,35637731,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
18,Canavan disease,ASPA,disease,protein/gene,disease_phenotype_positive,35929936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
22,Canavan disease,hypotonia,disease,phenotype,disease_phenotype_positive,35929936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
23,Canavan disease,drowsiness,disease,phenotype,disease_phenotype_positive,35929936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
24,Canavan disease,apathy,disease,phenotype,disease_phenotype_positive,35929936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
25,Canavan disease,abnormal myelination,disease,phenotype,disease_phenotype_positive,35929936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
35,leukodystrophy,Canavan disease,disease,disease,disease_disease,37601414,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
36,Canavan disease,ASPA,disease,protein/gene,disease_protein,37601414,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
41,leukodystrophy,Canavan disease,disease,disease,disease_disease,37610133,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
42,Canavan disease,ASPA,disease,protein/gene,disease_protein,37610133,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
46,Canavan disease,prominent spongiform brain degeneration,disease,phenotype,disease_phenotype_positive,37610133,in_kg,C1857934,,Cerebral cortex with spongiform changes,Cerebral cortex with spongiform changes,,,,,True,,,expert_cui,v2_expert_merged
55,Canavan disease,Aspa,disease,protein/gene,disease_protein,38011891,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
56,Leukodystrophy,Canavan disease,disease,phenotype,disease_phenotype_positive,38011891,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
73,Leukodystrophy,Canavan disease,disease,disease,disease_phenotype_positive,38282243,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
74,neurodegenerative disorder,Canavan disease,disease,disease,disease_disease,38309148,C0524851,in_kg,,,,,,,,,,,,v2_expert_merged
84,Canavan disease,vacuolation,disease,phenotype,disease_phenotype_positive,38538326,in_kg,C0010840,,,,,,,,,,,,v2_expert_merged
85,Canavan disease,vacuolation,disease,phenotype,disease_phenotype_positive,38538326,in_kg,C0010840,,,,,,,,,,,,v2_expert_merged
86,Canavan disease,hypomyelination,disease,phenotype,disease_phenotype_positive,38538326,in_kg,C0544820,,,,,,,,,,,,v2_expert_merged
87,Canavan disease,swollen axons,disease,phenotype,disease_phenotype_positive,38538326,in_kg,C1865417,,Diffuse axonal swelling,Diffuse axonal swelling,,,,,True,,,expert_cui,v2_expert_merged
93,Canavan disease,progressive macrocephaly,disease,phenotype,disease_phenotype_positive,40298596,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
94,Canavan disease,axial hypotonia,disease,phenotype,disease_phenotype_positive,40298596,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
96,Canavan disease,limb stiffness,disease,phenotype,disease_phenotype_positive,40298596,in_kg,C0558193|C1861460,,Proximal limb muscle stiffness,Proximal limb muscle stiffness,,,,,,,,,v2_expert_merged
101,Canavan disease,intention tremor,disease,phenotype,disease_phenotype_positive,40656657,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
102,Canavan disease,fine motor,disease,phenotype,disease_phenotype_positive,40656657,in_kg,C0556281|C1867864,,Poor fine motor coordination,Poor fine motor coordination,,,,,,,,,v2_expert_merged
104,leukodystrophy,Canavan disease,disease,disease,disease_disease,34446995,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
105,Canavan disease,Visual Impairment,disease,phenotype,disease_phenotype_positive,34446995,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
106,Canavan disease,pyramidal signs,disease,phenotype,disease_phenotype_positive,34446995,in_kg,C0234132,,Abnormal pyramidal sign,Abnormal pyramidal sign,,,,,,,,,v2_expert_merged
107,Canavan disease,seizures,disease,phenotype,disease_phenotype_positive,34446995,in_kg,C0036572,,,,,,,,,,,,v2_expert_merged
108,Canavan disease,microcephaly,disease,phenotype,disease_phenotype_positive,34446995,in_kg,C0025958|C1836806,,Mild microcephaly,Mild microcephaly,,,,,,,,,v2_expert_merged
113,Canavan disease,Lethargy,disease,phenotype,disease_phenotype_positive,34477360,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
114,Canavan disease,hypotonia,disease,phenotype,disease_phenotype_positive,34477360,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
115,Canavan disease,macrocephaly,disease,phenotype,disease_phenotype_positive,34477360,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
