Unnamed: 0,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name,entity1_expert_accepted,entity1_expert_suggested_name,entity1_expert_cui,entity1_expert_resolution,entity2_expert_accepted,entity2_expert_suggested_name,entity2_expert_cui,entity2_expert_resolution,mapping_version
2,2-hydroxypropyl-beta-cyclodextrin,Niemann-Pick Disease Type C,drug,disease,indication,34364974,C0046237,in_kg,,,,,,,,,,,,v2_expert_merged
3,Niemann-Pick Disease Type C,neurovisceral symptoms,disease,phenotype,disease_phenotype_positive,34364974,in_kg,C1867971,,Acute episodes of neuropathic symptoms,Acute episodes of neuropathic symptoms,,,,,True,,,expert_cui,v2_expert_merged
4,Niemann-Pick Disease Type C,accumulation of cholesterol and other lipids,disease,phenotype,disease_phenotype_positive,34364974,in_kg,C5937001,,Unesterified cholesterol accumulation in cultured fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts,,,,,True,,,expert_cui,v2_expert_merged
6,2-hydroxypropyl-beta-cyclodextrin,restore lipid homeostasis,drug,biological_process,drug_bioprocess,34364974,C0046237,C2262744,,lipid homeostasis,lipid homeostasis,,,,,True,,,expert_cui,v2_expert_merged
20,lysosome,NPC2,cellular_component,protein/gene,cellcomp_protein,37454976,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
22,astrocytic,GFAP,anatomy,protein/gene,anatomy_protein_present,37454976,C0521395,in_kg,,,,,,,,,,,,v2_expert_merged
26,Niemann-Pick Disease Type C,NPC1,disease,protein/gene,disease_protein,39173891,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
27,Niemann-Pick Disease Type C,neurodegenerative disease,disease,disease,disease_disease,39173891,in_kg,C0524851,,,,,,,,,,,,v2_expert_merged
28,Niemann-Pick Disease Type C,accumulated unesterified cholesterol,disease,phenotype,disease_phenotype_positive,39173891,in_kg,C3553603,,,,,,,,,,,,v2_expert_merged
30,Niemann-Pick Disease Type C,impairment of lysosomal function,disease,phenotype,disease_phenotype_positive,39173891,in_kg,C4025342,,Abnormality of lysosomal metabolism,Abnormality of lysosomal metabolism,,,,,True,,,expert_cui,v2_expert_merged
31,late endosome,NPC1,cellular_component,protein/gene,cellcomp_protein,39173891,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
37,changed morphology of microglia,Niemann-Pick Disease Type C,phenotype,protein/gene,disease_phenotype_positive,39173891,C4021990,in_kg,Abnormal microglia morphology,,Abnormal microglia morphology,True,,,expert_cui,,,,,v2_expert_merged
44,central nervous system,Niemann-Pick Disease Type C,anatomy,disease,anatomy_disease,35695805,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
45,embryonic lethality,NUS1,phenotype,protein/gene,disease_protein,35695805,C5139371,in_kg,preimplantation embryonic lethality,,preimplantation embryonic lethality,,,,,,,,,v2_expert_merged
63,neurodegenerative disorder,Niemann-Pick Disease Type C,disease,disease,disease_disease,38142760,C0524851,in_kg,,,,,,,,,,,,v2_expert_merged
71,cholesterol accumulation,Brain,phenotype,anatomy,phenotype_anatomy,38142760,C5436605,in_kg,,,,,,,,,,,,v2_expert_merged
73,neurogenetic disease,Niemann-Pick Disease Type C,disease,disease,disease_disease,39706535,C5681332,in_kg,neurometabolic disease,,neurometabolic disease,False,Hereditary Neurodegenerative Disorder,C3273225,not_accepted,,,,,v2_expert_merged
87,glycolysis,NPC1,biological_process,protein/gene,bioprocess_protein,39706535,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
