entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,PMID,relation,entity_side,entity_name_norm,expert_resolution,accepted_in_second_search
partial exon skipping,biological_process,False,exon-exon junction complex disassembly,C3894099,False,True,Alternative Splicing,C0002345,ok,10.1093/qjmed/hcaf246,bioprocess_protein,2,partial exon skipping,not_accepted,no
normalized neurodegenerative phenotype,phenotype,False,inherited neurodegenerative disorder,,False,True,Neuroprotection,C0598958,not found,10.1016/j.omtm.2022.03.011,drug_effect,2,normalized neurodegenerative phenotype,not_accepted,no
increased lyso-platelet activating factor,phenotype,False,Increased level of platelet-activating factor,C4073143,True,False,,,ok,10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,increased lyso-platelet activating factor,expert_cui,yes
reduced inflammatory cytokines,phenotype,False,negative regulation of cytokine production involved in inflammatory response,C3269276,True,False,,,ok,10.3390/life11101007,drug_effect,2,reduced inflammatory cytokines,expert_cui,yes
protein translation readthrough of stop codons,biological_process,False,regulation of translational termination,C1157545,True,False,,,Stop Codon Readthrough Transcript,10.1038/s41586-025-09732-2,drug_bioprocess,2,protein translation readthrough of stop codons,expert_cui,yes
decreased phosphatidylcholine,cellular_component,False,negative regulation of phosphatidylcholine catabolic process,C2612207,True,False,,,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,decreased phosphatidylcholine,expert_cui,yes
perifoveal whitening,phenotype,False,Abnormality of foveal pigmentation,C4072981,True,False,,,not found,10.1016/j.ajoc.2025.102381,phenotype_anatomy,2,perifoveal whitening,expert_cui,yes
reduced lysosomal mass,phenotype,False,lysosomal matrix,C4235311,False,True,Abnormal lysosomal morphology,C4531183,not found,10.3390/pharmaceutics17050628,drug_effect,2,reduced lysosomal mass,not_accepted,no
enhanced frequent +1 frameshifting,biological_process,False,translational frameshifting,C3821008,False,True,positive regulation of translational frameshifting,C3270822,ok,10.1016/j.isci.2024.109413,bioprocess_protein,2,enhanced frequent +1 frameshifting,not_accepted,no
lysosomal β-hexosaminidase activity,phenotype,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,beta-N-acetylhexosaminidase activity,10.1016/j.ymgme.2022.106983,disease_phenotype_negative,2,lysosomal β-hexosaminidase activity,expert_cui,yes
halted motor decline,phenotype,False,Motor deterioration,C1866284,True,False,,,not found,10.1371/journal.pone.0315005,drug_effect,2,halted motor decline,expert_cui,yes
increased β-hexosaminidase activity,phenotype,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,not found,10.1172/JCI183434|10.3390/ijms231810672,drug_effect,2,increased β-hexosaminidase activity,expert_cui,yes
enhance +1 ribosomal frameshifting,biological_process,False,positive regulation of translational frameshifting,C3270822,True,False,,,not found,10.1016/j.isci.2024.109413,bioprocess_protein,2,enhance +1 ribosomal frameshifting,expert_cui,yes
restored enzyme deficiency,phenotype,False,d-bifunctional protein deficiency,C0342870,True,False,,,not found,10.4103/1673-5374.375328,drug_effect,2,restored enzyme deficiency,expert_cui,yes
enzyme activity reduction,molecular_function,False,enzyme inhibitor activity,C1152555,True,False,,,ok,10.1016/j.ymgme.2021.05.001,molfunc_protein,2,enzyme activity reduction,expert_cui,yes
elevated phosphatidylcholine-ether,cellular_component,False,Elevated circulating lysophosphatidylcholine concentration,C5937189,True,False,,,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,elevated phosphatidylcholine-ether,expert_cui,yes
