entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
11β-hydroxysteroid-dehydrogenase of type 2,protein/gene,no,,
11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,biological_process,no,,
2-hydroxypropyl-ß-cyclodextrin,drug,no,,
2-hydroxypropyl-γ-cyclodextrin,drug,no,,
"3β,5α,6β-trihydroxycholanoyl-glycine",phenotype,no,,
4-sulfobutylether-β-cyclodextrin,drug,no,,
aberrant pattern of interferon activation,phenotype,no,,
abnormal cholesterol accumulation,phenotype,no,,
absence of serious adverse events,phenotype,no,,
accumulate multiple bis(monoacylglycero)phosphate species,phenotype,no,,
accumulating of cholesterol crystals in the lysosome,phenotype,no,,
accumulation of cholesterol and other lipids,phenotype,yes,Unesterified cholesterol accumulation in cultured fibroblasts,C5937001
accumulation of cholesterol in late endosome,phenotype,no,,
accumulation of cholesterol in lysosome,phenotype,no,,
accumulation of cholesterol in lysosomes,phenotype,no,,
accumulation of free cholesterol,phenotype,no,,
accumulation of glycosphingolipids,phenotype,no,,
accumulation of intracellular free cholesterol,phenotype,yes,Unesterified cholesterol accumulation in cultured fibroblasts,C5937001
accumulation of intracellular unesteri ed cholesterol,phenotype,no,,
accumulation of multiple lipid species,phenotype,no,,
accumulation of myofibroblasts,phenotype,no,,
accumulation of tissue-specific lipids,phenotype,no,,
accumulation of unesterified cholesterol and glycolipids,phenotype,yes,Unesterified cholesterol accumulation in cultured fibroblasts,C5937001
accumulation of unesterified cholesterol in lysosomes,phenotype,no,,
activation of pro‐inflammatory microglia,phenotype,no,,
alleviate neuroinflammation,phenotype,no,,
alteration of serum oxysterols,phenotype,no,,
alteration of sphingolipids,phenotype,no,,
altered horizontal position smooth pursuit,phenotype,yes,Impaired horizontal smooth pursuit,C1866753
altered horizontal saccadic peak velocity and latency,phenotype,yes,Slowed horizontal saccades,C1856477
altered metabolites,phenotype,no,,
altered vertical saccadic duration and amplitude,phenotype,yes,Slow saccadic eye movements,C1321329
ameliorated lysosome dysfunction,phenotype,no,,
ameliorated the cerebellar ataxic phenotype,phenotype,no,,
amyloidogenic processing,biological_process,no,,
an autosomal recessive hereditary disease,disease,no,,
atrophy over time in these structures,phenotype,no,,
attenuated cerebellar degeneration,pathology,no,,
attenuated cerebellar inflammation,pathology,no,,
attenuated lysosomal dysfunction,phenotype,no,,
attenuated microgliosis,phenotype,no,,
attenuated neuropathology,phenotype,no,,
autophagic flux,biological_process,no,,
autophagy defects,phenotype,no,,
autophagy reactivation,biological_process,no,,
autosomal recessive lysosomal disorder,phenotype,no,,
autosomal recessive lysosomal storage disease,disease,yes,lysosomal storage disease,C0085078
autosomal recessive lysosomal storage disorder,disease,yes,lysosomal storage disease,C0085078
autosomal recessive neurovisceral disease,disease,no,,
autosomal recessive rare disease,disease,no,,
axonal autophagic stress,phenotype,no,,
axonal autophagic vacuoles accumulation,phenotype,no,,
axonal trafficking defects,phenotype,yes,Peripheral axonal degeneration,C4025830
backward leaning during gait,phenotype,yes,Difficulty walking backward,C4703572
beam walk latency,phenotype,yes,Motor delay,C1854301
bis(monoacylglycero)phosphate biosynthesis pathway,pathway,no,,
blinks to elicit saccades,phenotype,yes,Hypermetric saccades,C0423083
blood-cerebrospinal fluid enlarged extracellular vesicles,anatomy,no,,
bor1 knockout,Gene therapy,no,,
brain capillary endothelial cells,anatomy,no,,
brain iron dysregulation,phenotype,no,,
brain microvascular endothelial cells,anatomy,no,,
brain region inflammation,phenotype,no,,
broken hepatocytes,phenotype,yes,Vacuolated hepatocytes,C5826610
buildup of autophagic organelles in dystrophic axons,phenotype,no,,
buildup of endocytic in dystrophic axons,phenotype,yes,Peripheral axon spheroid formation,C5826770
cancer cell pyroptosis,biological_process,no,,
cationic amphiphilic agents,drug,no,,
caused central nervous system inflammation,phenotype,no,,
caused demyelination,phenotype,no,,
caused neurological side effects,phenotype,no,,
cell phenotypic changes,phenotype,no,,
cellular and systemic growth control,biological_process,no,,
cellular cholesterol trafficking,biological_process,no,,
cellular organelles,cellular_component,no,,
central nervous system cholesterol metabolism,biological_process,no,,
ceramide homeostasis,biological_process,no,,
cerebellar hypometabolism progression,phenotype,yes,Global cerebellar dysplasia,C5539789
cerebellar pathology,pathology,no,,
cerebral glucose metabolism,biological_process,no,,
cerebrospinal fluid neurodegeneration,protein/gene,no,,
changed morphology of microglia,phenotype,yes,Abnormal microglia morphology,C4021990
chloride channel target therapy,drug,no,,
"cholestane-5α,6β-diol-3β-sulfonate",chemical,no,,
cholesterol accumlation,phenotype,no,,
cholesterol accumulation in host cytoplasmic dense vesicles,phenotype,no,,
cholesterol accumulation phenotype,phenotype,no,,
cholesterol acquisition,biological_process,no,,
cholesterol buildup,phenotype,no,,
cholesterol dyshomeostasis,phenotype,no,,
cholesterol dysregulation,phenotype,no,,
cholesterol egress,biological_process,no,,
cholesterol localization,phenotype,no,,
cholesterol overloaded,biological_process,no,,
cholesterol release from lysosomes,biological_process,no,,
cholesterol solubilization,biological_process,no,,
cholesterol storage in endosomes,phenotype,no,,
cholesterol storage in lysosomes,phenotype,no,,
cholesterol transport to the plasma membrane,biological_process,no,,
cholesterol uptake gene,protein/gene,no,,
choriod plexus,anatomy,yes,choroid plexus,C0008524
choroid plexus enlargement,phenotype,no,,
choroid plexus volumes,phenotype,no,,
chronic neurodegeneration,phenotype,yes,Progressive neurologic deterioration,C1854838
ciliary accessible cholesterol,phenotype,no,,
circulating inflammatory monocytes,anatomy,no,,
clear cholesterol from liver,phenotype,no,,
coginitive decline,phenotype,no,,
cognitive performance deterioration,phenotype,no,,
complex asparagine-linked glycosylation,biological_process,no,,
creatinine synthesis pathway,pathway,no,,
cryptic splice donor site,pathology,no,,
cytosolic b-glucosidase,cellular_component,no,,
damaged peripheral organs,phenotype,no,,
dearth in the lysosome loading of cholesterol transporter,phenotype,no,,
decaarginine endcapped polyrotaxanes,drug,yes,Nandrolone decanoate,C0068395
decelerated disease progression,phenotype,yes,Progressive neurologic deterioration,C1854838
declined gait abnormalities,phenotype,no,,
declined motor dysfunction,phenotype,no,,
decrease cholesterol accumulation,phenotype,no,,
decrease in cerebrospinal fluid disease severity levels,phenotype,no,,
decrease long term hematopoietic stem cells in bone marrow,phenotype,no,,
decrease long term hematopoietic stem in bone marrow,phenotype,no,,
decrease short term hematopoietic stem cells in bone marrow,phenotype,no,,
decrease short term hematopoietic stem in bone marrow,phenotype,no,,
decreased astrogliosis,phenotype,no,,
decreased cholesterol accumulation,phenotype,no,,
decreased cholesterol content associated with late endosome,phenotype,no,,
decreased levels of adenosine 5′-triphosphate,phenotype,yes,Elevated erythrocyte adenosine triphosphate concentration,C5826912
decreased microgliosis,phenotype,no,,
decreased mitochondrial glutathione levels,phenotype,yes,Elevated circulating glutathione concentration,C5826406
decreased oxidative stress,phenotype,no,,
decreased tumor metastasis,phenotype,no,,
decreased tyrosinase-related protein 1,phenotype,yes,tyrosinase activity,C3806150
decreased vacuolar fragmentation,phenotype,no,,
decreased vertical saccades peak velocity,phenotype,yes,Slowed horizontal saccades,C1856477
deep brain signs,phenotype,yes,White cerebellum sign,C5706186
deep cerebellar nuclei neurons,anatomy,no,,
defective fusion of autophagosomes,phenotype,no,,
defective fusion of lysosomes,phenotype,no,,
defective lysosomal cholesterol efflux,phenotype,no,,
defective mitophagy induction,phenotype,no,,
delayed onset of interferon signaling,phenotype,no,,
delayed the onset of motor impairment,phenotype,no,,
delayed the onset of weight loss,phenotype,no,,
deregulation in the cortical circadian rhythm pathway,phenotype,no,,
de‐ramified processes,phenotype,no,,
dissolve cholesterol crystals into free cholesterol,phenotype,no,,
dysfunctional autophagy,pathology,no,,
dystonia presentations,phenotype,yes,Generalized dystonia,C1848954
early cholestatic disease,disease,no,,
early neurodevelopmental disturbance,phenotype,no,,
elevated 7-ketocholesterol,anatomy,no,,
elevated cholesterol on lysosome membranes,phenotype,no,,
elevated levels of free pro-resolving fatty acid epoxides,phenotype,no,,
elevated levels of iron,phenotype,no,,
elevated levels of lipid peroxidation,phenotype,no,,
elevated levels of reactive oxygen species,phenotype,no,,
elevated lysosphingomyelin 509,phenotype,no,,
elevated myristic,phenotype,no,,
elevated myristic acid,phenotype,yes,Increased level of myristic acid in serum,C4703649
elevated oxysterols,anatomy | phenotype,no,,
elevated palmitoleic acid,phenotype,no,,
elevation of alkyl-lysophosphatidylcholine species,phenotype,no,,
elevations in glucosylceramide isoforms,phenotype,no,,
elevations in mitochondrial caltrium,phenotype,no,,
endo-lysosomal network,cellular_component,no,,
endo-lysosomal trafficking pathway,pathway,no,,
endo-lysosomes,cellular_component,no,,
endolysosomal accumulation of the lipid,phenotype,no,,
endolysosomal accumulation of unesterified cholesterol,pathology,no,,
endolysosomal comparment,cellular_component,no,,
endolysosomal compartment,cellular_component,no,,
endolysosomal storage of unesterified cholesterol,phenotype,no,,
endosomal transportautophagy abnormalities,phenotype,no,,
engulf mitochondria in autophagosomes,biological_process,no,,
enhance calcium entry,phenotype,no,,
enhanced the onset of the neurological phenotype,phenotype,no,,
enlarged extracellular vesicles,anatomy,no,,
enlarged soma size,phenotype,yes,Epiglottic enlargement,C0239282
enzymatic function,phenotype,no,,
enzyme acid sphingomyelinase deficiency,phenotype,no,,
evelated long-chain isoforms of glucosylceramide,phenotype,no,,
exacerbated interferon signaling,phenotype,no,,
excessive accumulation of cholesterol,phenotype,no,,
excessive cholesterol accumulation in the lysosome,phenotype,no,,
extends lifespan,phenotype,no,,
extensive hypometabolism,pathology,no,,
fatal neurodegenerative condition,phenotype,no,,
fatal neurodegenerative disease,disease,yes,fatal post-viral neurodegenerative disorder,C4751597
fatal neurovisceral disorder,phenotype,no,,
faulty cholesterol trafficking,phenotype,no,,
fibroblast-to-myofibroblast differentiation,biological_process,no,,
foam cell accumulation,phenotype,no,,
formation of multi-laminar storage bodies,phenotype,no,,
free pro-resolving fatty acid epoxides,molecular_function,no,,
free sterols accumulation,phenotype,no,,
frontotemporal areas,anatomy,no,,
gelastic cataplexy,phenotype,no,,
giant lysosomes,phenotype,no,,
giant multilamellar bodies,phenotype,no,,
glucocerbrosi-dase 2,protein/gene,no,,
glucosyl ceramide synthase,protein/gene,no,,
glucosylceramide synthase competitive inhibitor,phenotype,no,,
glycolipid and cholesterol trafficking,biological_process,no,,
glycosphingolipid accumulation,phenotype,no,,
grey matter loss in the thalami,phenotype,yes,Focal necrotic thalamus lesion,C5826815
head and upper body movements,phenotype,yes,Abnormal head movements,C0476217
heat shock response 70,protein/gene,no,,
hepatic and neuronal disorders,phenotype,no,,
hepatic symtoms,phenotype,yes,Abnormality of the liver,C4021780
hepatocyte-like cells,anatomy,no,,
hereditary ataxic disorders,phenotype,no,,
high level of unesrerified cholesterol,phenotype,yes,Elevated cholesterol ester level,C1291155
highly heterogeneous phenotypes,phenotype,no,,
hippocampal subregional atrophy,phenotype,no,,
host cellular cholesterol distribution,biological_process,no,,
human hematologic and solid cancers,disease,no,,
human-derived low-density lipoprotein,exposure,no,,
hypopharyngeal retention,phenotype,no,,
idiopathic neonatal cholestasis,phenotype,no,,
impaired anterograde lysosome transport,phenotype,no,,
impaired axonal lysosomal transport,phenotype,no,,
impaired cargo degradation,phenotype,no,,
impaired glutamate uptake,phenotype,no,,
impaired health-related quality of life,phenotype,yes,Diminished health-related quality of life,C5539750
impaired immune surveillance,phenotype,no,,
impaired intestinal stem cell stemness,phenotype,no,,
impaired intracellular cholesterol trafficking,phenotype,no,,
impaired lipid storage,phenotype,no,,
impaired lysosomal function,phenotype,no,,
impaired neurite outgrowth,phenotype,no,,
impaired oligodendrocyte lineage maturation,phenotype,no,,
impaired saccadic velocity,phenotype,yes,Slow saccadic eye movements,C1321329
