disease_cohort,path_id,anchor_disease_id,anchor_disease_name,anchor_disease_source,path_length,end_node_id,end_node_type,end_node_name,end_node_source,path_node_names,path_node_types,path_relations,novel_edge_count,literature_edge_count
Batten,070adb72c76da90c,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,256471,gene/protein,MFSD8,NCBI,infantile neuronal ceroid lipofuscinosis (disease) > MFSD8 (gene/protein),disease > gene/protein,associated with,1,1
Batten,0a164ba9ceb7703c,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,2180,effect/phenotype,Neurodegeneration,HPO,infantile neuronal ceroid lipofuscinosis (disease) > Neurodegeneration (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Batten,e332add416dadb9a,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,546,effect/phenotype,Retinal degeneration,HPO,infantile neuronal ceroid lipofuscinosis (disease) > Retinal degeneration (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Batten,b0d35a69a59759c5,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,100543,effect/phenotype,Cognitive impairment,HPO,infantile neuronal ceroid lipofuscinosis (disease) > Cognitive impairment (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Batten,5489391cde367b95,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,3204,effect/phenotype,Intracellular accumulation of autofluorescent lipopigment storage material,HPO,infantile neuronal ceroid lipofuscinosis (disease) > Intracellular accumulation of autofluorescent lipopigment storage material (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Batten,06d0f0b87b3021a3,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1,9549,disease,severe early-childhood-onset retinal dystrophy,MONDO,infantile neuronal ceroid lipofuscinosis (disease) > severe early-childhood-onset retinal dystrophy (disease),disease > disease,phenotype present,1,1
Batten,fa6c31813e1e41b6,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,2,10100,disease,Tay-Sachs disease,MONDO,infantile neuronal ceroid lipofuscinosis (disease) > APOE (gene/protein) > Tay-Sachs disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Batten,ec6a5ca83e846bce,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,2,5071,disease,nervous system disorder,MONDO,infantile neuronal ceroid lipofuscinosis (disease) > STXBP1 (gene/protein) > nervous system disorder (disease),disease > gene/protein > disease,associated with > associated with,2,1
Batten,b04245f022beb0e1,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,2,2435,anatomy,striatum,UBERON,infantile neuronal ceroid lipofuscinosis (disease) > LRRK2 (gene/protein) > striatum (anatomy),disease > gene/protein > anatomy,associated with > parent-child,2,1
Batten,32a843234b068545,2561_1011459_1011980_19261,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,2,4864,gene/protein,NPC1,NCBI,infantile neuronal ceroid lipofuscinosis (disease) > TGFBR1 (gene/protein) > NPC1 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
