disease_cohort,path_id,anchor_disease_id,anchor_disease_name,anchor_disease_source,path_length,end_node_id,end_node_type,end_node_name,end_node_source,path_node_names,path_node_types,path_relations,novel_edge_count,literature_edge_count
Canavan,a5fb1ee4eae946b5,10079_16781_16207,Canavan disease,MONDO_grouped,1,443,gene/protein,ASPA,NCBI,Canavan disease (disease) > ASPA (gene/protein),disease > gene/protein,phenotype present,1,1
Canavan,a2a08bb4ad5f8579,10079_16781_16207,Canavan disease,MONDO_grouped,1,DB00273,drug,Topiramate,DrugBank,Canavan disease (disease) > Topiramate (drug),disease > drug,side effect,1,1
Canavan,efa3f9a83c96dc1e,10079_16781_16207,Canavan disease,MONDO_grouped,1,DB00349,drug,Clobazam,DrugBank,Canavan disease (disease) > Clobazam (drug),disease > drug,indication,1,1
Canavan,1142ad8307812dd5,10079_16781_16207,Canavan disease,MONDO_grouped,1,DB00794,drug,Primidone,DrugBank,Canavan disease (disease) > Primidone (drug),disease > drug,indication,1,1
Canavan,44a91e41c78b7f98,10079_16781_16207,Canavan disease,MONDO_grouped,1,1254,effect/phenotype,Lethargy,HPO,Canavan disease (disease) > Lethargy (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,3c0984c297978374,10079_16781_16207,Canavan disease,MONDO_grouped,1,2080,effect/phenotype,Intention tremor,HPO,Canavan disease (disease) > Intention tremor (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,a101a4c2895de79d,10079_16781_16207,Canavan disease,MONDO_grouped,1,969,effect/phenotype,Edema,HPO,Canavan disease (disease) > Edema (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,ba06e5587bd5a442,10079_16781_16207,Canavan disease,MONDO_grouped,1,1257,effect/phenotype,Spasticity,HPO,Canavan disease (disease) > Spasticity (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,c05220f0911ce6d9,10079_16781_16207,Canavan disease,MONDO_grouped,1,8936,effect/phenotype,Axial hypotonia,HPO,Canavan disease (disease) > Axial hypotonia (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,ea3d14e0407ef06a,10079_16781_16207,Canavan disease,MONDO_grouped,1,1251,effect/phenotype,Ataxia,HPO,Canavan disease (disease) > Ataxia (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,96f18c48220a76dd,10079_16781_16207,Canavan disease,MONDO_grouped,1,741,effect/phenotype,Apathy,HPO,Canavan disease (disease) > Apathy (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,dee87aa90b0abb22,10079_16781_16207,Canavan disease,MONDO_grouped,1,31705,effect/phenotype,Compensatory head posture,HPO,Canavan disease (disease) > Compensatory head posture (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,f4c7c99347e623af,10079_16781_16207,Canavan disease,MONDO_grouped,1,2329,effect/phenotype,Drowsiness,HPO,Canavan disease (disease) > Drowsiness (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,68e36dc5a3e58f5d,10079_16781_16207,Canavan disease,MONDO_grouped,1,2344,effect/phenotype,Progressive neurologic deterioration,HPO,Canavan disease (disease) > Progressive neurologic deterioration (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,da027cc5bfe67dfe,10079_16781_16207,Canavan disease,MONDO_grouped,1,4302,effect/phenotype,Functional motor deficit,HPO,Canavan disease (disease) > Functional motor deficit (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,75a5606e7f2e6727,10079_16781_16207,Canavan disease,MONDO_grouped,1,12447,effect/phenotype,Abnormal myelination,HPO,Canavan disease (disease) > Abnormal myelination (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,1ff8844fe075ed49,10079_16781_16207,Canavan disease,MONDO_grouped,1,3405,effect/phenotype,Diffuse axonal swelling,HPO,Canavan disease (disease) > Diffuse axonal swelling (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,c3ab5251d61df01b,10079_16781_16207,Canavan disease,MONDO_grouped,1,4481,effect/phenotype,Progressive macrocephaly,HPO,Canavan disease (disease) > Progressive macrocephaly (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,e8472f371179e29b,10079_16781_16207,Canavan disease,MONDO_grouped,1,6790,effect/phenotype,Cerebral cortex with spongiform changes,HPO,Canavan disease (disease) > Cerebral cortex with spongiform changes (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,98dc26f066aeddf3,10079_16781_16207,Canavan disease,MONDO_grouped,1,7010,effect/phenotype,Poor fine motor coordination,HPO,Canavan disease (disease) > Poor fine motor coordination (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,fd1285d1b0b983d4,10079_16781_16207,Canavan disease,MONDO_grouped,1,7066,effect/phenotype,Proximal limb muscle stiffness,HPO,Canavan disease (disease) > Proximal limb muscle stiffness (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,fcbc8fc87b0fcdbb,10079_16781_16207,Canavan disease,MONDO_grouped,1,6000978,effect/phenotype,Nonrimmed muscle vacuoles,HPO,Canavan disease (disease) > Nonrimmed muscle vacuoles (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Canavan,2420754c7d5ac539,10079_16781_16207,Canavan disease,MONDO_grouped,1,19046,disease,leukodystrophy,MONDO,Canavan disease (disease) > leukodystrophy (disease),disease > disease,phenotype present,1,1
Canavan,1ca9f65d999b0f9e,10079_16781_16207,Canavan disease,MONDO_grouped,1,1149,disease,microcephaly,MONDO,Canavan disease (disease) > microcephaly (disease),disease > disease,phenotype present,1,1
Canavan,d685571ece9af1cd,10079_16781_16207,Canavan disease,MONDO_grouped,1,345,anatomy,myelin,UBERON,Canavan disease (disease) > myelin (anatomy),disease > anatomy,phenotype present,1,1
Canavan,51a3f4ca902d58b1,10079_16781_16207,Canavan disease,MONDO_grouped,1,9512,disease,lethal Larsen-like syndrome,MONDO,Canavan disease (disease) > lethal Larsen-like syndrome (disease),disease > disease,parent-child,1,1
Canavan,0f05cabcb56ddae3,10079_16781_16207,Canavan disease,MONDO_grouped,1,643911,gene/protein,CRNDE,NCBI,Canavan disease (disease) > CRNDE (gene/protein),disease > gene/protein,associated with,1,1
Canavan,7182db012d2f965a,10079_16781_16207,Canavan disease,MONDO_grouped,2,60,gene/protein,ACTB,NCBI,Canavan disease (disease) > microcephaly (disease) > ACTB (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,387ab0355c0c3c21,10079_16781_16207,Canavan disease,MONDO_grouped,2,1558,gene/protein,CYP2C8,NCBI,Canavan disease (disease) > Clobazam (drug) > CYP2C8 (gene/protein),disease > drug > gene/protein,indication > enzyme,2,1
Canavan,ff7fb66b0299fe86,10079_16781_16207,Canavan disease,MONDO_grouped,2,2033,gene/protein,EP300,NCBI,Canavan disease (disease) > microcephaly (disease) > EP300 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,e87d1ae874e1c059,10079_16781_16207,Canavan disease,MONDO_grouped,2,472,gene/protein,ATM,NCBI,Canavan disease (disease) > microcephaly (disease) > ATM (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,65415976cff13420,10079_16781_16207,Canavan disease,MONDO_grouped,2,3480,gene/protein,IGF1R,NCBI,Canavan disease (disease) > microcephaly (disease) > IGF1R (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,787d7f0c6d54e7ea,10079_16781_16207,Canavan disease,MONDO_grouped,2,4683,gene/protein,NBN,NCBI,Canavan disease (disease) > microcephaly (disease) > NBN (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,603f16a18b1f2572,10079_16781_16207,Canavan disease,MONDO_grouped,2,4001,gene/protein,LMNB1,NCBI,Canavan disease (disease) > microcephaly (disease) > LMNB1 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,0e3119ee484e2404,10079_16781_16207,Canavan disease,MONDO_grouped,2,5859,gene/protein,QARS1,NCBI,Canavan disease (disease) > microcephaly (disease) > QARS1 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,bbb92859d037ea4b,10079_16781_16207,Canavan disease,MONDO_grouped,2,51520,gene/protein,LARS1,NCBI,Canavan disease (disease) > microcephaly (disease) > LARS1 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,0f3d0810188cba75,10079_16781_16207,Canavan disease,MONDO_grouped,2,10558,gene/protein,SPTLC1,NCBI,Canavan disease (disease) > microcephaly (disease) > SPTLC1 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,43e943d803c84a6b,10079_16781_16207,Canavan disease,MONDO_grouped,2,55755,gene/protein,CDK5RAP2,NCBI,Canavan disease (disease) > microcephaly (disease) > CDK5RAP2 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,36fe2f613fad6432,10079_16781_16207,Canavan disease,MONDO_grouped,2,6812,gene/protein,STXBP1,NCBI,Canavan disease (disease) > microcephaly (disease) > STXBP1 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,c17f7998773a66b6,10079_16781_16207,Canavan disease,MONDO_grouped,2,79867,gene/protein,TCTN2,NCBI,Canavan disease (disease) > microcephaly (disease) > TCTN2 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
Canavan,6a50ef5135083a55,10079_16781_16207,Canavan disease,MONDO_grouped,2,4540,gene/protein,MT-ND5,NCBI,Canavan disease (disease) > microcephaly (disease) > MT-ND5 (gene/protein),disease > disease > gene/protein,phenotype present > associated with,2,1
