disease_cohort,path_id,anchor_disease_id,anchor_disease_name,anchor_disease_source,path_length,end_node_id,end_node_type,end_node_name,end_node_source,path_node_names,path_node_types,path_relations,novel_edge_count,literature_edge_count
NPC,80be315118a3e0c5,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,7039,gene/protein,TGFA,NCBI,Niemann-Pick disease type C (disease) > TGFA (gene/protein),disease > gene/protein,associated with,1,1
NPC,6c8c2c35c0b6370b,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,1950,gene/protein,EGF,NCBI,Niemann-Pick disease type C (disease) > EGF (gene/protein),disease > gene/protein,associated with,1,1
NPC,7bf2cade56c2d8a4,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,3122,gene/protein,HLA-DRA,NCBI,Niemann-Pick disease type C (disease) > HLA-DRA (gene/protein),disease > gene/protein,associated with,1,1
NPC,81a3a70c49cb644c,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,3920,gene/protein,LAMP2,NCBI,Niemann-Pick disease type C (disease) > LAMP2 (gene/protein),disease > gene/protein,associated with,1,1
NPC,d851d269d7448392,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,84317,gene/protein,CCDC115,NCBI,Niemann-Pick disease type C (disease) > CCDC115 (gene/protein),disease > gene/protein,associated with,1,1
NPC,f4af4bb9f02bcc1f,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,57118,gene/protein,CAMK1D,NCBI,Niemann-Pick disease type C (disease) > CAMK1D (gene/protein),disease > gene/protein,associated with,1,1
NPC,32373baf29941e8e,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,23020,gene/protein,SNRNP200,NCBI,Niemann-Pick disease type C (disease) > SNRNP200 (gene/protein),disease > gene/protein,associated with,1,1
NPC,3ae158158f9f0561,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,8742,gene/protein,TNFSF12,NCBI,Niemann-Pick disease type C (disease) > TNFSF12 (gene/protein),disease > gene/protein,associated with,1,1
NPC,debd9b6b1164edda,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,1793,gene/protein,DOCK1,NCBI,Niemann-Pick disease type C (disease) > DOCK1 (gene/protein),disease > gene/protein,associated with,1,1
NPC,1868477fe7acb6f7,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,10577,gene/protein,NPC2,NCBI,Niemann-Pick disease type C (disease) > NPC2 (gene/protein),disease > gene/protein,associated with,1,1
NPC,8049209c5c0af466,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,9437,gene/protein,NCR1,NCBI,Niemann-Pick disease type C (disease) > NCR1 (gene/protein),disease > gene/protein,associated with,1,1
NPC,beeb38e4623d4fff,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,950,gene/protein,SCARB2,NCBI,Niemann-Pick disease type C (disease) > SCARB2 (gene/protein),disease > gene/protein,associated with,1,1
NPC,c2dade3f7337819e,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,9681,gene/protein,DEPDC5,NCBI,Niemann-Pick disease type C (disease) > DEPDC5 (gene/protein),disease > gene/protein,associated with,1,1
NPC,f428996fa2c2d48f,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,2110,gene/protein,ETFDH,NCBI,Niemann-Pick disease type C (disease) > ETFDH (gene/protein),disease > gene/protein,associated with,1,1
NPC,c93c2ad5ebc8a37b,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,4864,gene/protein,NPC1,NCBI,Niemann-Pick disease type C (disease) > NPC1 (gene/protein),disease > gene/protein,associated with,1,1
NPC,ab65987521be17c1,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,4864,gene/protein,NPC1,NCBI,Niemann-Pick disease type C (disease) > NPC1 (gene/protein),disease > gene/protein,interacts with,1,1
NPC,f58c0a176d72f9e5,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,DB00625,drug,Efavirenz,DrugBank,Niemann-Pick disease type C (disease) > Efavirenz (drug),disease > drug,indication,1,1
NPC,401fe7af8ed6ceca,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,DB00419,drug,Miglustat,DrugBank,Niemann-Pick disease type C (disease) > Miglustat (drug),disease > drug,indication,1,1
NPC,96a8b42e9b444fe5,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,DB17021,drug,JQ1,DrugBank,Niemann-Pick disease type C (disease) > JQ1 (drug),disease > drug,indication,1,1
NPC,0e679613fedf12b9,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,DB05025,drug,Arimoclomol,DrugBank,Niemann-Pick disease type C (disease) > Arimoclomol (drug),disease > drug,indication,1,1
NPC,7798eb14ac5fa519,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,57835,gene/protein,SLC4A5,NCBI,Niemann-Pick disease type C (disease) > SLC4A5 (gene/protein),disease > gene/protein,associated with,1,1
NPC,600ce4f50eb16cb3,30602_5945_1797_5972,Niemann-Pick disease type C,MONDO_grouped,1,5027,disease,epilepsy,MONDO,Niemann-Pick disease type C (disease) > epilepsy (disease),disease > disease,phenotype present,1,1
