disease_cohort,path_id,anchor_disease_id,anchor_disease_name,anchor_disease_source,path_length,end_node_id,end_node_type,end_node_name,end_node_source,path_node_names,path_node_types,path_relations,novel_edge_count,literature_edge_count
Tay-Sachs,6aadf05dbb17224e,10100,Tay-Sachs disease,MONDO,1,6622,gene/protein,SNCA,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein),disease > gene/protein,associated with,1,1
Tay-Sachs,6b31854adfe79b9c,10100,Tay-Sachs disease,MONDO,1,348,gene/protein,APOE,NCBI,Tay-Sachs disease (disease) > APOE (gene/protein),disease > gene/protein,associated with,1,1
Tay-Sachs,1fa39b7c54ec2d4e,10100,Tay-Sachs disease,MONDO,1,960,gene/protein,CD44,NCBI,Tay-Sachs disease (disease) > CD44 (gene/protein),disease > gene/protein,associated with,1,1
Tay-Sachs,e2023e6b6c919e1b,10100,Tay-Sachs disease,MONDO,1,3693,gene/protein,ITGB5,NCBI,Tay-Sachs disease (disease) > ITGB5 (gene/protein),disease > gene/protein,associated with,1,1
Tay-Sachs,7cabce439fedcd45,10100,Tay-Sachs disease,MONDO,1,129_5365,disease,hearing loss disorder,MONDO_grouped,Tay-Sachs disease (disease) > hearing loss disorder (disease),disease > disease,parent-child,1,1
Tay-Sachs,e8a152054e61f6f1,10100,Tay-Sachs disease,MONDO,1,2180,effect/phenotype,Neurodegeneration,HPO,Tay-Sachs disease (disease) > Neurodegeneration (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Tay-Sachs,54f291fc4ffcc99d,10100,Tay-Sachs disease,MONDO,1,10780,effect/phenotype,Hyperacusis,HPO,Tay-Sachs disease (disease) > Hyperacusis (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Tay-Sachs,e49ac4988795a390,10100,Tay-Sachs disease,MONDO,1,33429,effect/phenotype,Neuroinflammation,HPO,Tay-Sachs disease (disease) > Neuroinflammation (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Tay-Sachs,1a75722734224f28,10100,Tay-Sachs disease,MONDO,1,32122,effect/phenotype,Very low visual acuity,HPO,Tay-Sachs disease (disease) > Very low visual acuity (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Tay-Sachs,feab76770cfa6690,10100,Tay-Sachs disease,MONDO,1,40078,effect/phenotype,Axonal degeneration,HPO,Tay-Sachs disease (disease) > Axonal degeneration (effect/phenotype),disease > effect/phenotype,phenotype present,1,1
Tay-Sachs,e595f01ad291ed48,10100,Tay-Sachs disease,MONDO,1,20128,disease,motor neuron disorder,MONDO,Tay-Sachs disease (disease) > motor neuron disorder (disease),disease > disease,parent-child,1,1
Tay-Sachs,8ec9b8e1a55370f3,10100,Tay-Sachs disease,MONDO,1,5066,disease,metabolic disease,MONDO,Tay-Sachs disease (disease) > metabolic disease (disease),disease > disease,parent-child,1,1
Tay-Sachs,59ee1591258076d3,10100,Tay-Sachs disease,MONDO,1,10006_17406,disease,Sandhoff disease,MONDO_grouped,Tay-Sachs disease (disease) > Sandhoff disease (disease),disease > disease,parent-child,1,1
Tay-Sachs,ccf47f4b141806b6,10100,Tay-Sachs disease,MONDO,2,3958,gene/protein,LGALS3,NCBI,Tay-Sachs disease (disease) > CD44 (gene/protein) > LGALS3 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,8a299374cb87d5be,10100,Tay-Sachs disease,MONDO,2,3902,gene/protein,LAG3,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > LAG3 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,2234f764fc3fea2a,10100,Tay-Sachs disease,MONDO,2,23435,gene/protein,TARDBP,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > TARDBP (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,0894059322955ded,10100,Tay-Sachs disease,MONDO,2,3375,gene/protein,IAPP,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > IAPP (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,2a8ff579942027ca,10100,Tay-Sachs disease,MONDO,2,6622,gene/protein,SNCA,NCBI,Tay-Sachs disease (disease) > APOE (gene/protein) > SNCA (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,dd86cd5aacdee942,10100,Tay-Sachs disease,MONDO,2,348,gene/protein,APOE,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > APOE (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
