record_type,anchor_group_name,node_id,node_name,canonical_group_name,expert_review,source_rule
anchor,Cowden disease,,,,Cowden disease,dup26_fix
anchor,anorexia nervosa,,,,yes,dup26_fix
anchor,arrhythmogenic right ventricular dysplasia,,,,arrhythmogenic right ventricular dysplasia,dup26_fix
anchor,benign fibrous histiocytoma,,,,yes,dup26_fix
anchor,benign neonatal seizures,,,,yes,dup26_fix
anchor,"cerebellar ataxia, intellectual disability, and dysequilibrium",,,,yes,dup26_fix
anchor,choroid plexus papilloma,,,,yes,dup26_fix
anchor,congenital anomalies of kidney and urinary tract,,,,congenital anomalies of kidney and urinary tract,dup26_fix
anchor,juvenile dermatomyositis,,,,yes,dup26_fix
anchor,dermatomyositis,,,,no,dup26_fix
anchor,endophthalmitis,,,,yes,dup26_fix
anchor,epiglottitis,,,,yes,dup26_fix
anchor,erythrokeratodermia variabilis et progressiva,,,,yes,dup26_fix
anchor,familial hyperaldosteronism,,,,no,dup26_fix
anchor,familial hyperreninemic hypoaldosteronism type 2,,,,no,dup26_fix
anchor,fetal alcohol spectrum disorder,,,,yes,dup26_fix
anchor,frontal sinusitis,,,,yes,dup26_fix
anchor,intracranial thrombosis,,,,yes,dup26_fix
anchor,"pigmented nodular adrenocortical disease, primary",,,,yes,dup26_fix
anchor,leptomeningeal melanoma,,,,yes,dup26_fix
anchor,liposarcoma,,,,no,dup26_fix
anchor,optic tract astrocytoma,,,,yes,dup26_fix
anchor,osteoarthritis,,,,yes,dup26_fix
anchor,osteosarcoma,,,,yes,dup26_fix
anchor,paraneoplastic limbic encephalitis,,,,yes,dup26_fix
anchor,periodontitis,,,,yes,dup26_fix
anchor,retinoblastoma,,,,no,dup26_fix
anchor,uveitis,,,,yes,dup26_fix
anchor,"bulimia nervosa, susceptibility to, 1",,,,"eating disorder, susceptibility to",dup26_fix
node,,12878,Cowden syndrome 2,Cowden disease,,legacy
node,,14047,Cowden syndrome 5,Cowden disease,,legacy
node,,8021,Cowden syndrome 1,Cowden disease,,legacy
node,,14046,Cowden syndrome 4,Cowden disease,,legacy
node,,14048,Cowden syndrome 6,Cowden disease,,legacy
node,,14045,Cowden syndrome 3,Cowden disease,,legacy
node,,14802,Cowden syndrome 7,Cowden disease,,legacy
node,,16063,Cowden disease,Cowden disease,,legacy
node,,16027,benign neonatal seizures,benign neonatal seizures,,legacy
node,,15642,benign partial infantile seizures,benign neonatal seizures,,legacy
node,,18981,benign idiopathic neonatal seizures,benign neonatal seizures,,legacy
node,,12430,"cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 2","cerebellar ataxia, intellectual disability, and dysequilibrium",,legacy
node,,24542,"cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 1","cerebellar ataxia, intellectual disability, and dysequilibrium",,legacy
node,,14104,"cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 4","cerebellar ataxia, intellectual disability, and dysequilibrium",,legacy
node,,13188,"cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 3","cerebellar ataxia, intellectual disability, and dysequilibrium",,legacy
node,,9133,"cerebellar ataxia, intellectual disability, and dysequilibrium","cerebellar ataxia, intellectual disability, and dysequilibrium",,legacy
