node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert,group_id_source
16045,disease,tetragametic chimerism,MONDO,tetragametic chimerism,tetragametic chimerism,,
8959,disease,CHAND syndrome,MONDO,CHAND syndrome,CHAND syndrome,,
16562,disease,progressive supranuclear palsy-pure akinesia with gait freezing syndrome,MONDO,progressive supranuclear palsy-pure akinesia with gait freezing syndrome,progressive supranuclear palsy-pure akinesia with gait freezing syndrome,,
19308,disease,junctional epidermolysis bullosa inversa,MONDO,junctional epidermolysis bullosa inversa,junctional epidermolysis bullosa inversa,,
19309,disease,late-onset junctional epidermolysis bullosa,MONDO,late-onset junctional epidermolysis bullosa,late-onset junctional epidermolysis bullosa,,
9179,disease,recessive dystrophic epidermolysis bullosa,MONDO,recessive dystrophic epidermolysis bullosa,recessive dystrophic epidermolysis bullosa,,
19310,disease,recessive dystrophic epidermolysis bullosa inversa,MONDO,recessive dystrophic epidermolysis bullosa inversa,recessive dystrophic epidermolysis bullosa inversa,,
9839,disease,progressive supranuclear palsy-parkinsonism syndrome,MONDO,progressive supranuclear palsy-parkinsonism syndrome,progressive supranuclear palsy-parkinsonism syndrome,,
7552,disease,pretibial dystrophic epidermolysis bullosa,MONDO,pretibial dystrophic epidermolysis bullosa,dystrophic epidermolysis bullosa,7552_15553_24455_14819_10566_10245_16825_10335_14591_8389_4782_21155,bert_join
7548,disease,transient bullous dermolysis of the newborn,MONDO,transient bullous dermolysis of the newborn,transient bullous dermolysis of the newborn,,
10142,disease,hypothyroidism due to TSH receptor mutations,MONDO,hypothyroidism due to TSH receptor mutations,hypothyroidism due to TSH receptor mutations,,
10139,disease,isolated thyroid-stimulating hormone deficiency,MONDO,isolated thyroid-stimulating hormone deficiency,isolated thyroid-stimulating hormone deficiency,,
16362,disease,attenuated familial adenomatous polyposis,MONDO,attenuated familial adenomatous polyposis,attenuated familial adenomatous polyposis,,
11916,disease,Charcot-Marie-Tooth disease axonal type 2K,MONDO,Charcot-Marie-Tooth disease axonal,Charcot-Marie-Tooth disease,11916_11569_10877_10699_13959_7308_7309_700338_14736_14836_12096_11085_10551_11633_14012_7307_14060_13212_10550_9417_10949_11894_11534_11527_11890_13644_11475_11066_14208_11901_7311_11902_11113_8388_11903_10689_14117_12250_8961_11687_12640_13753_12231_11889_14511_11570_14726_11091_7790_14733_14566_10995_14866_14735_14665_19011_18993_15626_18995_18994_16869_16454_3959_3962_44640,bert_join
7551,disease,"epidermolysis bullosa simplex 1C, localized",MONDO,"epidermolysis bullosa simplex 1C, localized",epidermolysis bullosa simplex,7551_7555_10366_10318_30018_10297_8329_10590_10316_859316_8608_9984_18569_4724_10255_17610_2010_800391_6188_1011668,bert_join
7555,disease,"epidermolysis bullosa simplex 5A, Ogna type",MONDO,"epidermolysis bullosa simplex 5A, Ogna type",epidermolysis bullosa simplex,7551_7555_10366_10318_30018_10297_8329_10590_10316_859316_8608_9984_18569_4724_10255_17610_2010_800391_6188_1011668,bert_join
12895,disease,torsion dystonia 17,MONDO,torsion dystonia,torsion dystonia,12895_11264_7493_11200_11886_9141_11249_5822_44843_1011412_1011778_21010,bert_join
10829,disease,CARASIL syndrome,MONDO,CARASIL syndrome,CARASIL syndrome,,
850097,disease,autoimmune limbic encephalitis,MONDO,autoimmune limbic encephalitis,autoimmune encephalitis,850097_5538_20640_1011713,bert_join
18582,disease,GCGR-related hyperglucagonemia,MONDO,GCGR-related hyperglucagonemia,GCGR-related hyperglucagonemia,,
19314,disease,cutaneous mastocytoma,MONDO,cutaneous mastocytoma,cutaneous mastocytosis,19314_10747_1011665,bert_join
7078,disease,pseudohypoparathyroidism type 1A,MONDO,pseudohypoparathyroidism,hypoparathyroidism,7078_12911_12912_8749_11301_19992_16785_3504_1220,bert_join
12911,disease,pseudohypoparathyroidism type 1C,MONDO,pseudohypoparathyroidism,hypoparathyroidism,7078_12911_12912_8749_11301_19992_16785_3504_1220,bert_join
12912,disease,pseudopseudohypoparathyroidism,MONDO,pseudopseudohypoparathyroidism,hypoparathyroidism,7078_12911_12912_8749_11301_19992_16785_3504_1220,bert_join
8733,disease,familial glucocorticoid deficiency,MONDO,familial glucocorticoid deficiency,familial glucocorticoid deficiency,,
10898,disease,autosomal dominant epilepsy with auditory features,MONDO,autosomal dominant epilepsy with auditory features,autosomal dominant epilepsy with auditory features,,
11721,disease,distal myopathy with anterior tibial onset,MONDO,distal myopathy with anterior tibial onset,distal myopathy with anterior tibial onset,,
9696,disease,juvenile myoclonic epilepsy,MONDO,"myoclonic epilepsy, juvenile","myoclonic epilepsy, juvenile",9696_12655_12134_20752_800330,bert_join
17615,disease,benign familial infantile epilepsy,MONDO,benign familial infantile epilepsy,benign familial infantile epilepsy,,
13116,disease,congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,MONDO,congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,,
18024,disease,hydroa vacciniforme,MONDO,hydroa vacciniforme,hydroa vacciniforme,,
20527,disease,ectopic Cushing syndrome,MONDO,ectopic Cushing syndrome,ectopic Cushing syndrome,,
100164,disease,permanent neonatal diabetes mellitus,MONDO,"diabetes mellitus, permanent neonatal","diabetes mellitus, permanent neonatal",100164_30088_30087_100165_30089,bert_join
11073,disease,"diabetes mellitus, transient neonatal, 1",MONDO,"diabetes mellitus, transient neonatal","diabetes mellitus, transient neonatal",11073_12480_12522_20525,bert_join
9852,disease,hereditary intrinsic factor deficiency,MONDO,hereditary intrinsic factor deficiency,hereditary intrinsic factor deficiency,,
19171,disease,familial long QT syndrome,MONDO,familial long QT syndrome,familial long QT syndrome,,
13361,disease,congenital prothrombin deficiency,MONDO,congenital prothrombin deficiency,congenital prothrombin deficiency,,
9025,disease,apparent mineralocorticoid excess,MONDO,apparent mineralocorticoid excess,apparent mineralocorticoid excess,,
8491,disease,stiff-person syndrome,MONDO,stiff-person syndrome,stiff-person syndrome,,
1040033,disease,congenital muscular dystrophy without intellectual disability,MONDO,congenital muscular dystrophy,congenital muscular dystrophy,1040033_14023_13178_13177_11486_24607_18278_19950_700075_18281_1012906,bert_join
19960,disease,VIPoma,MONDO,VIPoma,VIPoma,,
