Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
0,62,familial renal glucosuria,missing,,no,308.0,yes,familial renal glucosuria,0.98,2.0,308|13693,familial renal glucosuria || familial cystic renal disease,,C3245525,familial renal glucosuria
0,62,familial renal glucosuria,missing,,no,308.0,yes,familial renal glucosuria,0.98,2.0,308|13693,familial renal glucosuria || familial cystic renal disease,,not found,familial cystic renal disease
1,82,autosomal recessive congenital ichthyosis,found,,no,409.0,yes,autosomal recessive congenital ichthyosis,0.98,2.0,409|7313,autosomal recessive congenital ichthyosis || autosomal recessive faciodigitogenital syndrome,,C1835851,autosomal recessive congenital ichthyosis
1,82,autosomal recessive congenital ichthyosis,found,,no,409.0,yes,autosomal recessive congenital ichthyosis,0.98,2.0,409|7313,autosomal recessive congenital ichthyosis || autosomal recessive faciodigitogenital syndrome,,C1856871,autosomal recessive faciodigitogenital syndrome
2,107,congenital myopathy,conflict,congenital myasthenic syndrome|congenital myopathy|nemaline myopathy,no,568.0,yes,congenital myopathy,0.98,4.0,251|568|13640|15343,congenital myasthenic syndrome || congenital myopathy || congenital structural myopathy || congenital acardia,,C0751882,congenital myasthenic syndrome
2,107,congenital myopathy,conflict,congenital myasthenic syndrome|congenital myopathy|nemaline myopathy,no,568.0,yes,congenital myopathy,0.98,4.0,251|568|13640|15343,congenital myasthenic syndrome || congenital myopathy || congenital structural myopathy || congenital acardia,,C0270960,congenital myopathy
2,107,congenital myopathy,conflict,congenital myasthenic syndrome|congenital myopathy|nemaline myopathy,no,568.0,yes,congenital myopathy,0.98,4.0,251|568|13640|15343,congenital myasthenic syndrome || congenital myopathy || congenital structural myopathy || congenital acardia,,C0752282,congenital structural myopathy
2,107,congenital myopathy,conflict,congenital myasthenic syndrome|congenital myopathy|nemaline myopathy,no,568.0,yes,congenital myopathy,0.98,4.0,251|568|13640|15343,congenital myasthenic syndrome || congenital myopathy || congenital structural myopathy || congenital acardia,,not found,congenital acardia
4,142,hyperprolinemia,found,,no,863.0,yes,hyperprolinemia,0.98,3.0,863|3952|14496,hyperprolinemia || hyperheparinemia || hyperprolactinemia,,C0268528,hyperprolinemia
4,142,hyperprolinemia,found,,no,863.0,yes,hyperprolinemia,0.98,3.0,863|3952|14496,hyperprolinemia || hyperheparinemia || hyperprolactinemia,,C3203346,hyperheparinemia
4,142,hyperprolinemia,found,,no,863.0,yes,hyperprolinemia,0.98,3.0,863|3952|14496,hyperprolinemia || hyperheparinemia || hyperprolactinemia,,C0020514,hyperprolactinemia
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0020502,hyperparathyroidism
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0020550,hyperthyroidism
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0020503,secondary hyperparathyroidism
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0020676,hypothyroidism
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0020551,hyperthyroxinemia
