relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,26786,2344,effect/phenotype,Progressive neurologic deterioration,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,315,443,gene/protein,ASPA,NCBI
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,36660,2329,effect/phenotype,Drowsiness,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,81110,741,effect/phenotype,Apathy,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,25856,12447,effect/phenotype,Abnormal myelination,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,83166,6790,effect/phenotype,Cerebral cortex with spongiform changes,HPO
disease_phenotype_positive,phenotype present,43344,19046,disease,leukodystrophy,MONDO,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
disease_disease,parent-child,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,26740,3429,effect/phenotype,CNS hypomyelination,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,81875,3405,effect/phenotype,Diffuse axonal swelling,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,82266,4481,effect/phenotype,Progressive macrocephaly,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,80844,8936,effect/phenotype,Axial hypotonia,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,83259,7066,effect/phenotype,Proximal limb muscle stiffness,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,80745,2080,effect/phenotype,Intention tremor,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,83240,7010,effect/phenotype,Poor fine motor coordination,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,36536,1149,disease,microcephaly,MONDO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,28045,1254,effect/phenotype,Lethargy,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,25166,1251,effect/phenotype,Ataxia,HPO
indication,indication,15274,DB00349,drug,Clobazam,DrugBank,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
indication,indication,16539,DB00794,drug,Primidone,DrugBank,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,63944,345,anatomy,myelin,UBERON
disease_disease,parent-child,129317,10079,disease,Canavan disease,MONDO,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,92996,6000978,effect/phenotype,Nonrimmed muscle vacuoles,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,24724,969,effect/phenotype,Edema,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,25469,1257,effect/phenotype,Spasticity,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,25238,31705,effect/phenotype,Compensatory head posture,HPO
disease_phenotype_positive,phenotype present,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,25593,4302,effect/phenotype,Functional motor deficit,HPO
disease_disease,parent-child,32907,9512,disease,lethal Larsen-like syndrome,MONDO,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
disease_protein,associated with,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped,79432,643911,gene/protein,CRNDE,NCBI
drug_effect,side effect,15251,DB00273,drug,Topiramate,DrugBank,32140,10079_16781_16207,disease,Canavan disease,MONDO_grouped
cellcomp_protein,interacts with,129318,30141,cellular component,secretory granule,GO,11642,80331,gene/protein,DNAJC5,NCBI
bioprocess_protein,interacts with,1046,1509,gene/protein,CTSD,NCBI,49423,6914,biological_process,autophagy,GO
cellcomp_protein,interacts with,49255,51641,biological_process,cellular localization,GO,1046,1509,gene/protein,CTSD,NCBI
disease_protein,associated with,11508,79947,gene/protein,DHDDS,NCBI,40872,100038,disease,complex neurodevelopmental disorder,MONDO
disease_phenotype_positive,phenotype present,40872,100038,disease,complex neurodevelopmental disorder,MONDO,89713,34360,effect/phenotype,Action myoclonus,HPO
disease_protein,associated with,12668,116150,gene/protein,NUS1,NCBI,40872,100038,disease,complex neurodevelopmental disorder,MONDO
disease_phenotype_positive,phenotype present,40872,100038,disease,complex neurodevelopmental disorder,MONDO,25166,1251,effect/phenotype,Ataxia,HPO
disease_disease,parent-child,40872,100038,disease,complex neurodevelopmental disorder,MONDO,98162,19488,disease,myoclonic epilepsy in non-progressive encephalopathies,MONDO
phenotype_phenotype,parent-child,83331,7307,effect/phenotype,Rapid neurologic deterioration,HPO,83331,7307,effect/phenotype,Rapid neurologic deterioration,HPO
phenotype_phenotype,parent-child,24852,546,effect/phenotype,Retinal degeneration,HPO,26912,7814,effect/phenotype,Retinal pigment epithelial mottling,HPO
phenotype_phenotype,parent-child,24852,546,effect/phenotype,Retinal degeneration,HPO,83529,7843,effect/phenotype,Attenuation of retinal blood vessels,HPO
disease_disease,parent-child,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,32150,11842,disease,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,MONDO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,83308,7240,effect/phenotype,Progressive gait ataxia,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,29935,8499,effect/phenotype,High hypermetropia,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,25603,10831,effect/phenotype,Impaired proprioception,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,85259,11808,effect/phenotype,Decreased patellar reflex,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,87983,32037,effect/phenotype,Mildly reduced visual acuity,HPO
disease_phenotype_positive,phenotype present,14172,80208,gene/protein,SPG11,NCBI,25470,1288,effect/phenotype,Gait disturbance,HPO
