row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
10,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,37601414,duplicate_literature_row,,
11,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,37610133,duplicate_literature_row,,
12,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,37610133,duplicate_literature_row,,
14,Canavan,20260508-Canavan_final.csv,Canavan disease,Aspa,disease_protein,38011891,duplicate_literature_row,,
16,Canavan,20260508-Canavan_final.csv,Leukodystrophy,Canavan disease,disease_phenotype_positive,38282243,duplicate_literature_row,,
18,Canavan,20260508-Canavan_final.csv,Canavan disease,vacuolation,disease_phenotype_positive,38538326,unresolved_entity2,C0010840,
27,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,34446995,duplicate_literature_row,,
33,Canavan,20260508-Canavan_final.csv,Canavan disease,hypotonia,disease_phenotype_positive,34477360,duplicate_literature_row,,
34,Canavan,20260508-Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,34477360,duplicate_literature_row,,
35,Canavan,20260508-Canavan_final.csv,vacuolar leukodystrophy,CANAVAN disease,disease_disease,34498299,duplicate_literature_row,,
37,Canavan,20260508-Canavan_final.csv,Canavan disease,hypotonia,,34498299,empty_relation,,
38,Canavan,20260508-Canavan_final.csv,leukodystropy,Canavan disease,disease_disease,34723085,duplicate_literature_row,,
39,Canavan,20260508-Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,34723085,duplicate_literature_row,,
40,Canavan,20260508-Canavan_final.csv,Canavan disease,neurologic impairment,disease_phenotype_positive,34723085,duplicate_literature_row,,
41,Canavan,20260508-Canavan_final.csv,Canavan disease,leukodystrophy,disease_disease,36568275,duplicate_literature_row,,
42,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,36568275,duplicate_literature_row,,
43,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,36968992,duplicate_literature_row,,
44,Canavan,20260508-Canavan_final.csv,canavan disease,seizures,disease_phenotype_positive,36968992,duplicate_literature_row,,
47,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,37149081,duplicate_literature_row,,
48,Canavan,20260508-Canavan_final.csv,canavan disease,ASPA,disease_protein,37149081,duplicate_literature_row,,
50,Canavan,20260508-Canavan_final.csv,Canavan disease,large vacuole,disease_phenotype_positive,37149081,unresolved_entity2,C1853189,
51,Canavan,20260508-Canavan_final.csv,Canavan disease,death,disease_phenotype_positive,37149081,unresolved_entity2,C1306577,
52,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,37271923,duplicate_literature_row,,
53,Canavan,20260508-Canavan_final.csv,Canavan disease,vacuolation,disease_phenotype_positive,37271923,unresolved_entity2,C0010840,
55,Canavan,20260508-Canavan_final.csv,spongy leukodystrophy,Canavan disease,disease_disease,38544400,duplicate_literature_row,,
56,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,38544400,duplicate_literature_row,,
57,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,38718669,duplicate_literature_row,,
58,Canavan,20260508-Canavan_final.csv,white matter,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
59,Canavan,20260508-Canavan_final.csv,globus pallidus,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
60,Canavan,20260508-Canavan_final.csv,putamen,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
61,Canavan,20260508-Canavan_final.csv,caudate,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
62,Canavan,20260508-Canavan_final.csv,claustrum,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
63,Canavan,20260508-Canavan_final.csv,lateral thalamus,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
64,Canavan,20260508-Canavan_final.csv,pulvinar,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
65,Canavan,20260508-Canavan_final.csv,internal capsules,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
66,Canavan,20260508-Canavan_final.csv,corpus callosum,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
67,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,39119446,duplicate_literature_row,,
68,Canavan,20260508-Canavan_final.csv,Canavan disease,hypotonia,disease_phenotype_positive,39119446,duplicate_literature_row,,
69,Canavan,20260508-Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,39119446,duplicate_literature_row,,
73,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,39119446,duplicate_literature_row,,
79,Canavan,20260508-Canavan_final.csv,Canavan disease,seizures,disease_phenotype_positive,39119446,duplicate_literature_row,,
82,Canavan,20260508-Canavan_final.csv,posterior fossa,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
83,Canavan,20260508-Canavan_final.csv,corpus callosum genus,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
84,Canavan,20260508-Canavan_final.csv,capsule,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
85,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,39128657,duplicate_literature_row,,
86,Canavan,20260508-Canavan_final.csv,white matter,Canavan disease, anatomy_disease,39524158,unsupported_relation:anatomy_disease,,
87,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,39628365,duplicate_literature_row,,
88,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,39628365,duplicate_literature_row,,
90,Canavan,20260508-Canavan_final.csv,Canavan disease,motor milestones,disease_phenotype_negative,39628365,unresolved_entity2,C3807655,
91,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,38740822,duplicate_literature_row,,
94,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_phenotype_positive,38740822,duplicate_literature_row,,
96,Canavan,20260508-Canavan_final.csv,neural stem cell,Canavan disease,drug_effect,34446995,unresolved_entity1,,C1113654
98,Canavan,Canavan_additional_relations_v2.csv,inverted echogenicity,cortical gray,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
99,Canavan,Canavan_additional_relations_v2.csv,inverted echogenicity,subcortical white matter,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
100,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,progressive cognitive and motor,disease_phenotype_positive,37610133,unresolved_entity2,C5233137|C5233139,
101,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,astroglial vacuolation,disease_phenotype_positive,37610133,unresolved_entity2,C5206989,
102,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,astroglial  vacuolation,disease_phenotype_positive,38282243,unresolved_entity2,C5206989,
103,Canavan,Canavan_additional_relations_v2.csv,dilated perivascular spaces,bifrontal regions,pathology_anatomy_present,40298596,unsupported_relation:pathology_anatomy_present,,
104,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,demylination,disease_phenotype_positive,37271923,unresolved_entity2,C0011304,
