entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,integratable
24S-hydroxycholesterol,improved motor function,protein/gene,phenotype,phenotype_protein,38142760,C0208133,C5452884,True
poly-β-cyclodextrin,Niemann-Pick type C diseases,drug,disease,indication,34748340,C1699799,C0220756,True
liver−spleen region,Niemann-Pick Disease Type C1,anatomy,disease,anatomy_disease,34061502,C0545797,C3179455,True
adamantane-pentyl-deoxynojirimycin,fibroblast-to-myofibroblast differentiation,drug,biological_process,drug_bioprocess,36804125,C1565642,C1709101,True
N-nonyldeoxynojirimycin,fibroblast-to-myofibroblast differentiation,drug,biological_process,drug_bioprocess,36804125,C0674666,C1709101,True
N-butyldeoxynojirimycin,fibroblast-to-myofibroblast differentiation,drug,biological_process,drug_bioprocess,36804125,C1321596,C1709101,True
lysosomal lipid storage,Niemann-Pick Disease Type C,disease,disease,disease_disease,38087834,C0085078,in_kg,True
Niemann-Pick Disease Type C1,neuropsychiatric signs,disease,phenotype,disease_phenotype_positive,38087834,C3179455,C3203509,True
systemic organ lesions,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C0026766,in_kg,True
pathological changes in kidneys,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C6022317,in_kg,True
Niemann-Pick disease type C,peripheral organ dysfunction,disease,phenotype,disease_phenotype_positive,40215728,in_kg,C0342953,True
NPC1,premature degradation,protein/gene,phenotype,phenotype_protein,40215728,in_kg,C5542995,True
Niemann-Pick Disease Type C,faulty cholesterol trafficking,disease,phenotype,disease_phenotype_positive,40215728,in_kg,C2749801,True
target of rapamycin,systemic insulin signaling,protein/gene,biological_process,bioprocess_protein,35245460,C1257553,C1512804,True
cholesterol,cellular and systemic growth control,exposure,biological_process,exposure_bioprocess,35245460,in_kg,C0596286,True
lyso-sphingolipids,Niemann-Pick disease type C,biological_process,disease,bioprocess_disease,41274250,C0037900,in_kg,True
Niemann-Pick Disease Type C,neuropsychiatric issues,disease,phenotype,disease_phenotype_positive,39789920,in_kg,C6013326,True
Niemann-Pick Disease Type C1,lysomsomal storage disorder,disease,disease,disease_disease,35081253,C3179455,C0085078,True
