,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
18,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1016/j.ymgme.2021.05.001,in_kg,in_kg,,,
22,Tay-Sachs disease,enzyme β-hexosaminidase deficiency,disease,phenotype,disease_phenotype_positive,10.3390/ijms22136751,in_kg,C2673361,,Increased serum beta-hexosaminidase,Increased serum beta-hexosaminidase
23,Sandhoff disease,enzyme β-hexosaminidase deficiency,disease,phenotype,disease_phenotype_positive,10.3390/ijms22136751,in_kg,C2673361,,Increased serum beta-hexosaminidase,Increased serum beta-hexosaminidase
28,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1002/prot.26180,in_kg,in_kg,,,
32,glioblastoma multiforme,HEXA,disease,protein/gene,disease_protein,10.3389/fonc.2021.685893,C1621958,in_kg,,,
33,glioblastoma multiforme,HEXB,disease,protein/gene,disease_protein,10.3389/fonc.2021.685893,C1621958,in_kg,,,
36,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1007/s12031-021-01907-6,in_kg,in_kg,,,
37,Sandhoff disease,HEXB,disease,protein/gene,disease_protein,10.1007/s12031-021-01907-6,in_kg,in_kg,,,
39,Metachromatic leukodystrophy,ARSA,disease,protein/gene,disease_protein,10.1007/s12031-021-01907-6,in_kg,in_kg,,,
44,lysosomal storage disease,sphingolipidosis,disease,disease,disease_disease,10.1007/s12031-021-01907-6,in_kg,in_kg,,,
45,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.3390/life11101007,in_kg,in_kg,,,
50,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1007/s10072-021-05757-3,in_kg,in_kg,,,
51,Tay-Sachs disease,slowly progressive cerebellar ataxia,disease,phenotype,disease_phenotype_positive,10.1007/s10072-021-05757-3,in_kg,C1846368,,,
52,Tay-Sachs disease,lower motor neuron disease,disease,disease,disease_disease,10.1007/s10072-021-05757-3,in_kg,C0085084|C0270764,,motor neuron disease,motor neuron disease
64,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.5546/aap.2022.eng.e25,in_kg,in_kg,,,
65,Tay-Sachs disease,neurodegeneration,disease,phenotype,disease_phenotype_positive,10.5546/aap.2022.eng.e25,in_kg,in_kg,,,
67,Tay-Sachs disease,macrocephaly,disease,phenotype,disease_phenotype_positive,10.5546/aap.2022.eng.e25,in_kg,in_kg,,,
68,Tay-Sachs disease,cherry-red spot,disease,phenotype,disease_phenotype_positive,10.5546/aap.2022.eng.e25,in_kg,C0278234|C2216370,,Cherry red spot of the macula,Cherry red spot of the macula
69,Sandhoff disease,HEXB,disease,protein/gene,disease_protein,10.1016/j.ibneur.2022.01.004,in_kg,in_kg,,,
70,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1016/j.ibneur.2022.01.004,in_kg,in_kg,,,
84,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.3389/fmolb.2022.892248,in_kg,in_kg,,,
86,Tay-Sachs disease,neurodegeneration,disease,phenotype,disease_phenotype_positive,10.3389/fmolb.2022.892248,in_kg,in_kg,,,
88,Tay-Sachs disease,axonal degeneration,disease,phenotype,disease_phenotype_positive,10.3389/fmolb.2022.892248,in_kg,in_kg,,,
95,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.3390/ijms231810672,in_kg,in_kg,,,
96,Sandhoff disease,HEXB,disease,protein/gene,disease_protein,10.3390/ijms231810672,in_kg,in_kg,,,
104,gangliosidoses,macrocephaly,disease,phenotype,disease_phenotype_positive,10.1016/j.gim.2022.09.001,C0017083,in_kg,gangliosidosis,,gangliosidosis
106,gangliosidoses,hypotonia,disease,phenotype,disease_phenotype_positive,10.1016/j.gim.2022.09.001,C0017083,in_kg,gangliosidosis,,gangliosidosis
107,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.5334/tohm.726,in_kg,in_kg,,,
121,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1186/s13023-023-02637-1,in_kg,in_kg,,,
128,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1371/journal.pone.0280650,in_kg,in_kg,,,
130,Tay-Sachs disease,neurodegeneration,disease,phenotype,disease_phenotype_positive,10.1371/journal.pone.0280650,in_kg,in_kg,,,
137,miglustat,glycosphingolipid synthesis,drug,biological process,drug_bioprocess,10.1111/ene.15871,in_kg,C2267133,,,
143,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.3390/jpm13081222,in_kg,in_kg,,,
144,Tay-Sachs disease,metabolic disease,disease,Disease,disease_disease,10.3390/jpm13081222,in_kg,C0025517|C0751744,,acquired metabolic disease,acquired metabolic disease
145,Tay-Sachs disease,early death,disease,phenotype,disease_phenotype_positive,10.3390/jpm13081222,in_kg,C1271991,,,
146,Tay-Sachs disease,HEXA,disease,protein/gene,disease_protein,10.1111/ene.16069,in_kg,in_kg,,,
164,Gemfibrozil,improved behavior,drug,phenotype,drug_effect,10.3390/cells12242791,in_kg,C4063022,,,
