cas_reg_no,umls_cui,relationship_name
616-91-1,C0022660,indication
55079-83-9,C0033860,indication
142340-99-6,C0019163,indication
142340-99-6,C0524909,indication
106941-25-7,C0019163,indication
106941-25-7,C0524909,indication
58-61-7,C0004153,indication
58-61-7,C1956346,indication
18559-94-9,C0004096,indication
81403-80-7,C2937421,indication
173334-57-1,C0085580,indication
1951-25-3,C0004238,indication
88150-42-9,C0085580,indication
88150-42-9,C0524620,indication
86-42-0,C0024530,indication
26787-78-0,C0031106,indication
26787-78-0,C1838332,indication
26787-78-0,C0032285,indication
1397-89-3,C0023290,indication
166663-25-8,C0006840,indication
503612-47-3,C0149871,indication
503612-47-3,C0034065,indication
67346-49-0,C0008677,indication
67346-49-0,C2350878,indication
129722-12-9,C0004352,indication
129722-12-9,C0005586,indication
129722-12-9,C1269683,indication
129722-12-9,C0036337,indication
129722-12-9,C0270496,indication
1327-53-3,C0023418,indication
88495-63-0,C0024530,indication
50-78-2,C0007785,indication
50-78-2,C0338480,indication
50-78-2,C1956346,indication
50-78-2,C0948008,indication
50-78-2,C0027051,indication
50-78-2,C0151744,indication
50-78-2,C0007787,indication
29122-68-7,C0085580,indication
134523-00-5,C0948089,indication
134523-00-5,C0004153,indication
134523-00-5,C0010054,indication
134523-00-5,C1956346,indication
134523-00-5,C0010068,indication
134523-00-5,C0020445,indication
134523-00-5,C0020473,indication
134523-00-5,C0524620,indication
134523-00-5,C0027051,indication
330784-47-9,C0242350,indication
446-86-6,C0010346,indication
446-86-6,C0024143,indication
446-86-6,C0042384,indication
863031-21-4,C0085580,indication
83905-01-5,C0008677,indication
5534-09-8,C0004096,indication
5534-09-8,C0035455,indication
5534-09-8,C0035457,indication
155206-00-1,C0017601,indication
66722-44-9,C0264716,indication
128270-60-0,C0948089,indication
128270-60-0,C0027051,indication
394730-60-0,C0019196,indication
394730-60-0,C0524910,indication
147536-97-8,C0011644,indication
59803-98-4,C0017601,indication
91714-94-2,C0086543,indication
51333-22-3,C0027430,indication
51333-22-3,C0037199,indication
52485-79-7,C0019337,indication
34911-55-2,C0588008,indication
112965-21-6,C0033860,indication
32222-06-3,C0020502,indication
62-54-4,C0085681,indication
471-34-1,C0085681,indication
471-34-1,C0042870,indication
7440-70-2,C0029456,indication
145040-37-5,C0085580,indication
28860-95-9,C0030567,indication
41575-94-4,C0345958,indication
72956-09-3,C1623038,indication
72956-09-3,C0085580,indication
72956-09-3,C0020541,indication
162808-62-0,C0006840,indication
73384-59-5,C0032285,indication
169590-42-5,C0409959,indication
83881-51-0,C0035455,indication
83881-51-0,C0035457,indication
54-05-7,C0024530,indication
67-97-0,C0042870,indication
24967-93-9,C0409959,indication
126544-47-6,C0035455,indication
126544-47-6,C0035457,indication
73963-72-1,C0007785,indication
226256-56-0,C0020502,indication
226256-56-0,C0020503,indication
59729-33-8,C0024517,indication
59729-33-8,C0011570,indication
59729-33-8,C0588008,indication
81103-11-9,C1838332,indication
163252-36-6,C0019163,indication
163252-36-6,C0524909,indication
25122-41-2,C0033860,indication
113665-84-2,C0002965,indication
113665-84-2,C0010054,indication
113665-84-2,C1956346,indication
113665-84-2,C0027051,indication
113665-84-2,C0007787,indication
23593-75-1,C0006840,indication
5786-21-0,C0036341,indication
50-18-0,C0024143,indication
59865-13-3,C0013238,indication
59865-13-3,C0035078,indication
147-94-4,C0023418,indication
147-94-4,C0023467,indication
1009119-64-5,C0019196,indication
1009119-64-5,C0524910,indication
133099-04-4,C0878773,indication
1132935-63-7,C0019196,indication
1132935-63-7,C0524910,indication
70-51-9,C0005283,indication
100643-71-8,C0035455,indication
100643-71-8,C0035457,indication
100643-71-8,C0042109,indication
113775-47-6,C0011206,indication
13739-02-1,C0029410,indication
15307-86-5,C0409959,indication
624-49-7,C0026769,indication
120014-06-4,C0750901,indication
